Subject,Object
'The Long Black Death': New Perspectives,King's Manor
10th Chess Olympiad,Helsinki
11th U-boat Flotilla,Bergen
14th Chess Olympiad,Leipzig
1873 FA Cup Final,Lillie Bridge Grounds
1893 European Rowing Championships,Lake Orta
1894 European Rowing Championships,Mâcon regatta course
1896 Cedar Keys hurricane,Georgia
1896 European Rowing Championships,Lake Geneva
1896 United States presidential election in Arkansas,Arkansas
1897 European Rowing Championships,lago maggiore
1897 European Rowing Championships,Lake Maggiore
1897 European Rowing Championships,pallanzeno
1898 European Rowing Championships,Turin
1912 European Rowing Championships,Lake Geneva
1913 European Rowing Championships,Ghent–Terneuzen Canal
1914 FA Cup Final,Crystal Palace National Sports Centre
1920 European Rowing Championships,Mâcon regatta course
1922 European Rowing Championships,barcelona port
1922 European Rowing Championships,Port of Barcelona
1924 European Rowing Championships,Lake Zurich
1930 European Rowing Championships,Meuse
1932 European Rowing Championships,Sava
1935 European Rowing Championships,Berlin-Grünau Regatta Course
1938 Swedish Badminton Championships,Malmö
1940 Swedish Badminton Championships,Malmö
1942 Swedish Badminton Championships,Malmö
1944 Swedish Badminton Championships,Malmö
1946 Swedish Badminton Championships,Malmö
1949 Belgian Badminton Championships,Leuven
1949 European Rowing Championships,Bosbaan
1951 Belgian Badminton Championships,Leuven
1952 Belgian Badminton Championships,Leuven
1953 Belgian Badminton Championships,Leuven
1953 European Rowing Championships,Lake Bagsværd
1954 Belgian Badminton Championships,Leuven
1954 European Rowing Championships,Bosbaan
1955 Belgian Badminton Championships,Leuven
1956 Belgian Badminton Championships,Leuven
1956 FA Cup Final,Wembley Stadium
1957 Belgian Badminton Championships,Leuven
1957 European Rowing Championships,Wedau Regatta Course
1958 Belgian Badminton Championships,Leuven
1958 European Rowing Championships,Lake Malta
1958 Swedish Open Badminton Championships,Malmö
1959 Scottish Open Badminton Championships,Edinburgh
1960 Scottish Open Badminton Championships,Edinburgh
1961 Scottish Open Badminton Championships,Edinburgh
1962 European Athletics Championships,partizan stadium
1962 European Rowing Championships,Berlin-Grünau Regatta Course
1962 Swedish Open Badminton Championships,Malmö
1962 US Open Badminton Championships,East Hanover Township
1963 Danish Badminton Championships,Copenhagen
1963 European Rowing Championships,Lake Bagsværd
1964 Dutch Grand Prix,Circuit Park Zandvoort
1964 European Rowing Championships,Bosbaan
1964 Scottish Open Badminton Championships,Edinburgh
1965 Danish Badminton Championships,Copenhagen
1965 Dutch Grand Prix,Circuit Park Zandvoort
1965 Scottish Open Badminton Championships,Edinburgh
1966 Danish Badminton Championships,Copenhagen
1966 European Rowing Championships,Bosbaan
1966 Scottish Open Badminton Championships,Edinburgh
1967 Dutch Grand Prix,Circuit Park Zandvoort
1967 European Rowing Championships,Lac d'Allier
1967 Scottish Open Badminton Championships,Edinburgh
1967 Swedish Open Badminton Championships,Borås
1968 Danish Badminton Championships,Copenhagen
1968 European Indoor Games,Madrid
1968 European Rowing Championships,Berlin-Grünau Regatta Course
1968 Scottish Open Badminton Championships,Edinburgh
1969 Danish Badminton Championships,Copenhagen
1969 European Athletics Championships,Athens
1969 European Indoor Games,Belgrade
1969 European Indoor Games,yugoslavia
1969 Scottish Open Badminton Championships,Edinburgh
1969 Swedish Open Badminton Championships,Stockholm
1971 European Athletics Championships,Helsinki
1971 Scottish Open Badminton Championships,Edinburgh
1972 Swedish Open Badminton Championships,Borås
1973 Dutch Grand Prix,Circuit Park Zandvoort
1973 Swedish Open Badminton Championships,Gothenburg
1974 Danish Badminton Championships,Copenhagen
1976 Danish Badminton Championships,Copenhagen
1977 Plume d’Or,Lausanne
1978 Plume d’Or,Brussels
1978 Uber Cup,auckland
1979 German Grand Prix,hockenheimring
1979 Plume d’Or,Seixal
1980 European Athletics Indoor Championships,Sindelfingen
1980 NHL Entry Draft,Montreal Forum
1980 Plume d’Or,Clignancourt
1981 Plume d’Or,Vigo
1981 Uber Cup,edo
1981–82 Isthmian League,East of England
1981–82 Isthmian League,South East England
1982 NHL Entry Draft,Montreal Forum
1982 Plume d’Or,Ljubljana
1983 European Athletics Indoor Championships,Budapest
1983 German Grand Prix,br dtld.
1983 German Grand Prix,hockenheimring
1983 NHL Entry Draft,Montreal Forum
1984 German Grand Prix,br dtld.
1984 German Grand Prix,hockenheimring
