Subject,Object
1896 Cedar Keys hurricane,960
Hurricane Anita,926
Severe Tropical Storm Matmo,992
Tropical storm Barry,1005
Tropical storm Ernesto,994
Tropical Storm Gordon,996
Tropical storm in 1989 Karen,1000
Tropical Storm in 1990 Arthur,995
Tropical Storm in 1990 Cesar,1000
Tropical Storm in 1990 Edouard,1003
Tropical Storm in 1990 Fran,1007
Tropical Storm in 1990 Hortense,993
Tropical storm Iris,1001
Tropical storm Isaac,1005
Tropical storm Unnamed,994
Typhoon Bualoi,930
Typhoon Dolphin,918
Typhoon Fengshen,940
Typhoon Fran,910
Typhoon Goni,930
Typhoon Halong,905
Typhoon Kalmaegi,951
Typhoon Nakri,972
