Subject,Object
Antarctica,bentley subglacial trench
Bangladesh,Bay of Bengal
Cameroon,Bight of Biafra
Chad,bodele depression
Chile,Pacific Ocean
Federated States of Micronesia,great southern ocean
Ghana,gulf of guinea
Ivory Coast,Gulf of Guinea
Japan,hachirogata
Kazakhstan,karagiye
Maine,atlantic
Massachusetts,atlantic
Mauritius,eastern ocean
Montenegro,adria
North Korea,east sea
Palau,great southern ocean
Paraguay,paraguay river
Philippines,east philippine sea
Quebec,arctic ocean
Romania,black sea
Saint Helena,atlantic
Slovakia,bodrog
Thailand,andaman sea
Ticino,lago maggiore
Turkey,black sea
Uganda,albert nyanza
Vienna,lobau
Zambia,zambesi
