Subject,Object
Aberbaldie Nature Reserve Plan of Management,Aberbaldie Nature Reserve
Abercrombie River National Park Plan of Management,Abercrombie River National Park
Acilius 5,Acilia gens
Acta Paediatrica,pediatrics
Al Gore: Averting the climate crisis,climate change
Amy Smith: Simple designs to save a life,charcoal
Animafest Zagreb,animated film
Apple Maps,Maps
Aristophanes 12,Aristophanes
Aristophanes 14,Aristophanes of Byzantium
Aristophanes 16,Aristophanes
Aristophon 7,Aristophon
"Arthur Bowes-Smyth, illustrated journal, 1787-1789",Convicts in Australia
ASTM D4628,magnesium
ASTM D4642,reform
ASTM D4815,gasoline
ASTM D4953,gasoline
ASTM D4975,steel
ASTM D5127,semiconductor
ASTM D5135,styrene
ASTM D5502,aluminum
ASTM D5504,natural gas
Attikos 10a-f,Atticus
"Benjamin Netanyahu speech to joint session of Congress, 2015",nuclear program of Iran
Bevacizumab in Treating Patients With Recurrent or Progressive Glioma,recurrent adult brain tumor
Biblical Basis for War,Christianity
Bill Gates: Innovating to zero!,nuclear power
Bone Marrow and Peripheral Stem Cell Transplantation in Treating Patients With Hematologic Cancer,prolymphocytic leukemia
Bongil Bongil National Park Plan of Management,Bongil Bongil National Park
Brickipedia,Lego
"Budderoo National Park, Macquarie Pass National Park, Barren Grounds Nature Reserve and Robertson Nature Reserve Plan of Management",Budderoo National Park
Burt Rutan: The real future of space exploration,space exploration
Camden International Film Festival,documentary film
Chicago International Children's Film Festival,child
Chinese Journal of Physics,physics
"Combining Dictionaries, Wordnets and other Lexical Resources – Advantages and Challenges",Danish
Complete remission of Merkel cell carcinoma on the upper lip treated with radiation monotherapy and a literature review of Japanese cases.,lip cancer
Complete remission of Merkel cell carcinoma on the upper lip treated with radiation monotherapy and a literature review of Japanese cases.,Merkel cell carcinoma
Desibeli.net,music
Development,developmental biology
Dokonjō Gaeru,middle school student
Dorrigo National Park Plan of Management,Dorrigo National Park
Effect of Chemotherapy Given Either by Mouth or by Infusion on the Quality of Life of Patients With Recurrent Ovarian Epithelial Cancer,peritoneum cancer
Ekonomist,economics
Erratum to: Modeling the spread of polio in an IPV-vaccinated population: lessons learned from the 2013 silent outbreak in southern Israel.,Israel
Erratum to: The GOOD life: Study protocol for a social norms intervention to reduce alcohol and other drug use among Danish adolescents.,social norm
Estimating and Reducing the Cardiovascular Risk of Patients With Schizophrenia Drugs From Lipid Measures and Ischemic Electrocardiographic Changes,metabolic syndrome
Extramedullary plasmacytoma occuring in ileocecum: A case report and literature review.,cecal neoplasm
Extramedullary plasmacytoma occuring in ileocecum: A case report and literature review.,ileal neoplasm
Find My Friends,Find My Friends
Gamengrund und Rüdersdorf,Gamengrund
Garigal National Park Plan of Management,Garigal National Park
Gran Paradiso Film Festival,nature
Hank Williams With His Drifting Cowboys discography,Hank Williams With His Drifting Cowboys
"Hans Rosling: Insights on HIV, in stunning data visuals",HIV
Hans Rosling: The best stats you've ever seen,developing country
"Henry Colden Antill - journals, 1809, 1815",penal transportation
Horrible Imaginings,Horror
Im Spreewald,Burg (Spreewald)
Im Warthebruch,"Dąbroszyn, Lubusz Voivodeship"
In the Palace International Short Film Festival,short film
In's Land Lebus,Lubusz Land
In's Ruppiner Land,Tegel
Inakappe Taishō,sport
Indian Journal of Gastroenterology,gastroenterology
Israeli Film Festival of Philadelphia,Israel
John Hunter First Fleet Journal 1787-1791,Convicts in Australia
John Hunter First Fleet Journal 1787-1791,First Fleet
John Hunter First Fleet Journal 1787-1791,John Hunter
Journal of Clinical Investigation,medicine
Journal of Cytology,medicine
Journal of Indian Association of Pediatric Surgeons,pediatrics
Journal of Indian Society of Pedodontics and Preventive Dentistry,geology
Journal of Medical Physics,computer science
Journal of Physics B,physics
Journal of Postgraduate Medicine,medicine
Journal of Psychopharmacology,psychopharmacology
Journal of the Iranian Chemical Society,food science
Journal of Veterinary Science,animal science
Leibniz as a Politician,Gottfried Wilhelm Leibniz
