Subject,Object
Albania,220
Argentina,220
Australia,230
Australia,240
Austria,230
Bangladesh,220
Botswana,230
Burkina Faso,220
Cameroon,220
Central African Republic,220
Chad,220
Czech Republic,230
Federated States of Micronesia,120
France,230
France,400
Ghana,230
Greenland,230
India,230
Iraq,230
Israel,230
Italy,230
Japan,100
Kazakhstan,220
Kingdom of the Netherlands,230
Kyrgyzstan,220
Lesotho,220
Libya,127
Libya,230
Malawi,230
Maldives,230
Mali,220
Mauritius,230
Montenegro,230
Morocco,127
Morocco,220
Netherlands,230
New Zealand,230
Niger,220
North Korea,110
North Korea,220
Palau,120
Paraguay,220
Peru,220
Philippines,220
Poland,220
Poland,230
Romania,230
Slovakia,230
Spain,230
Sweden,230
Texel,230
Thailand,220
Turkey,230
Turkmenistan,220
Uganda,240
Ukraine,230
United Kingdom,230
Vietnam,220
Zambia,230
Zimbabwe,220
