Subject,Object
Governor of Maryland,gobernador de Maryland
Governor of Maryland,Governor of Maryland
Governor of Maryland,guverner Marylanda
Governor of Texas,gobernador de Texas
maternal grandparent,maternal grandfather
maternal great-grandparent,maternal great-grandfather
Ogre,grdobec
Ogre,ogre
Ogre,ogro
parent,father
paternal great-grandparent,paternal great-grandfather
President of the United States,predsednik Združenih držav Amerike
President of the United States,president dels Estats Units
President of the United States,President vun de Vereenegte Staaten
President of the United States,presidente de Estados Unidos
President of the United States,prezydent Stanów Zjednoczonych Ameryki
President of the United States,président des États-Unis
President of the United States,رئيس الولايات المتحدة
