Subject,Object
ACV-300,FNSS Defence Systems
Alpen Blitz,Anton Schwarzkopf
Apple Watch,Quanta Computer
Aréthuse-class submarine,dcns
Aréthuse-class submarine,Naval Group
Baltic Sunrise,Hyundai Heavy Industries
Black Hole,Anton Schwarzkopf
Blue Jade,STX Offshore & Shipbuilding
BMD-3,Volgograd Tractor Factory
BMP-3,Kurganmashzavod
British Explorer,Hyundai Mipo Dockyard
Bugatti EB110,Bugatti Automobili
Cap Harvey,Hyundai Heavy Industries
Champion,Swan Hunter
Chemical Challenger,Asakawa Shipbuilding
CHEOPS,ads
Ciudad de Palma,Cantiere Navale Visentini
Cosco Africa,Hyundai Heavy Industries
Cosco America,Hyundai Heavy Industries
Cruise Olympia,Fincantieri
Daphné-class submarine,dcns
Dardo IFV,Fiat
Delta King,William Denny and Brothers
Delta Queen,William Denny and Brothers
Desperado,Arrow Dynamics
Disaster Transport,Intamin
Egyptian Infantry Fighting Vehicle,Arab Organization for Industrialization
Falls of Clyde,The Russell & Company
Ferrari F40,Ferrari
Ferrari F50,Ferrari
Foxtrot-class submarine,Admiralty Shipyard
Freccia,Iveco
Gemini 2,mcdonnell aircraft corporation
Gerner Maersk,Odense Steel Shipyard
Google Glass,foxconn
Google Glass,Hon Hai Precision Industry
Guy Armoured Car,Guy Motors
HMCS Protecteur,Saint John Shipbuilding
HMCS Provider,Davie Shipbuilding
HMS Agincourt,Armstrong Whitworth
HMS Malaya,Armstrong Whitworth
HMS Sveparen,Motala Verkstad
HMS Sökaren,Motala Verkstad
HMS Tjurkö,Karlskrona shipyard
HMS Tjörn,Djupvik shipyard
HMS Tärnö,Karlskrona shipyard
HMS Ulvön,Oskarshamn Shipyard
HMS Utö,Kalmar shipyard
HMS Viksten,Karlskrona shipyard
HMS Vinga,Götaverken
HMS Vinö,Karlskrona shipyard
HMS Örskär,Lindholmen Shipyard
Honda CT110,Honda
Honda CT90,honda
Honda RC212V,Honda
Honda ST series,honda
Honda ST1300,Honda
Hotel-class submarine,Sevmash
Huawei Mate,Huawei
Huawei P series,Huawei
Huckleberry Finn,Schichau Seebeckwerft
Intimidator,Bolliger & Mabillard
iPhone 11,Apple Inc.
iPhone 11 Pro,Apple Inc.
iPhone 4S,Hon Hai Precision Industry
iPhone 5,Hon Hai Precision Industry
iPhone 5C,Hon Hai Precision Industry
iPhone 5S,Hon Hai Precision Industry
iPhone 8,Hon Hai Precision Industry
iPhone 8 Plus,Hon Hai Precision Industry
iPhone X,Hon Hai Precision Industry
Italian battleship Conte di Cavour,Ansaldo
Italian battleship Giulio Cesare,Ansaldo
Jaguar XJ220,Jaguar Cars
K21,Doosan Group
Kawasaki H2 Mach IV,Kawasaki Heavy Industries Motorcycle & Engine
Kh-22,MKB Raduga
Kobben-class submarine,Nordseewerke
KSR-5,en
KSR-5,MKB Raduga
Lamborghini Diablo,Lamborghini
Lazar 3,Yugoimport SDPR
Los Angeles-class submarine,Newport News Shipbuilding
Maersk Nimes,Hyundai Heavy Industries
Magnum XL-200,Arrow Dynamics
Mamba,D. H. Morgan Manufacturing
Maserati MC12,Maserati
Mercedes-Benz SLR McLaren,Mercedes-Benz
Mercury-Redstone 4,mcdonnell aircraft corporation
Minas Geraes,Armstrong Whitworth
Mitsubishi Type 89 IFV,Komatsu Limited
Mohammed VI - B,Airbus Defence and Space
Mol Continuity,Koyo Dockyard
MS Norman Atlantic,Cantiere Navale Visentini
MV Erika,Shin Kasado Dockyard
MV Prestige,Hitachi
Nintendo 3DS,Nintendo
Nintendo DS,Nintendo
Nintendo GameCube,Nintendo
OA vz. 27,skoda works
OA vz. 27,Škoda Works
OA vz. 30,tatra
OA vz. 30,Tatra Trucks
Odin,Wilton-Fijenoord
P-500 Bazalt,NPO Mashinostroyeniya
P-800 Oniks,NPO Mashinostroyeniya
Pixel 2,HTC Corporation
Porsche 959,Porsche
Porsche Carrera GT,Porsche
Raging Bull,Bolliger & Mabillard
Raspberry Pi,RS Components
Resolution class submarine,Vickers
RMS Queen Mary,j & g thomson
RMS Transvaal Castle,j & g thomson
Sagitta,Nordseewerke
Samsung Gear,Samsung Electronics
Santa Isabel,Daewoo Shipbuilding & Marine Engineering
SAOCOM 1A,INVAP
Sd.Kfz. 247,Friedrich Krupp AG
Sentinel-1B,ads
Sentinel-1B,thales alenia
Sentinel-1B,Thales Alenia Space
Sentinel-3A,Thales Alenia Space
Sentinel-3B,Thales Alenia Space
SES-14,ads
Silja Serenade,STX Finland Oy
Skibladner,Motala Verkstad
SKS Douro,Hyundai Samho Heavy Industries
SMS Helgoland,Howaldtswerke-Deutsche Werft
SMS Ostfriesland,Kaiserliche Werft Wilhelmshaven
SMS Rheinland,AG Vulcan Stettin
SMS Thüringen,a.g. weser
SMS Thüringen,AG Weser
SMS Westfalen,a.g. weser
SMS Westfalen,AG Weser
SNCF 232.U.1,corpet-louvet
Sprite Remix,The Coca-Cola Company
SS Huntsend,a.g. weser
SS Princess Alice,Caird & Company
Stavanger Eagle,Shin Kurushima Dockyard
