Subject,Object
actinium-215,6030.615
actinium-216,8144.395
actinium-217,8703.673
actinium-218,10843.609
bismuth-195,-18025.561
bismuth-196,-18009.031
bismuth-197,-19687.191
bismuth-201,-21416.433
bismuth-202,-20741.484
bismuth-203,-21524.827
caesium-146,-55310.372
caesium-147,-51920.064
caesium-148,-46910.942
caesium-149,-43250.0
caesium-150,-38170.0
caesium-151,-34230.0
cerium-124,-64916.0
cerium-125,-66658.0
cerium-137,-85918.588
cerium-142,-84533.188
francium-205,-1309.813
francium-206,-1242.416
francium-207,-2844.341
francium-208,-2665.919
francium-209,-3769.572
francium-210,-3333.205
francium-211,-4140.249
francium-212,-3515.968
francium-213,-3552.848
francium-214,-958.707
francium-215,318.065
gadolinium-134,-41302.0
gadolinium-135,-44390.0
gadolinium-152,-74706.916
gadolinium-154,-73705.954
gadolinium-155,-72069.88
gadolinium-156,-72534.914
gadolinium-157,-70823.473
gadolinium-158,-70689.546
gadolinium-159,-68561.436
gadolinium-161,-65505.824
gadolinium-164,-59774.0
gadolinium-165,-56453.0
gadolinium-166,-54530.0
gadolinium-168,-48363.0
gadolinium-169,-44153.0
lead-181,-3117.35
lead-182,-6825.112
lead-183,-7575.218
lead-184,-11051.522
lead-185,-11541.22
lead-186,-14682.026
lead-187,-14986.959
lead-188,-17815.202
lead-189,-17844.035
lead-190,-20416.645
lead-191,-20231.118
lead-192,-22556.02
lead-194,-24207.94
lead-196,-25348.312
lead-202,-25940.614
lead-204,-25109.892
lead-210,-14728.502
palladium-107,-88372.639
palladium-109,-87606.476
palladium-114,-83490.943
palladium-115,-80426.386
palladium-116,-79831.635
palladium-117,-76424.477
palladium-118,-75388.746
palladium-119,-71407.902
palladium-120,-70280.05
palladium-121,-66182.329
palladium-122,-64616.161
palladium-123,-60429.742
palladium-124,-58390.0
palladium-125,-54120.0
palladium-126,-51860.0
palladium-128,-44490.0
palladium-91,-45930.0
palladium-92,-54580.0
protactinium-222,22155.0
protactinium-223,22320.676
protactinium-224,23862.278
protactinium-225,24340.725
protactinium-226,26033.276
protactinium-227,26831.198
protactinium-228,28923.586
protactinium-229,29896.908
protactinium-230,32173.607
protactinium-231,33424.404
protactinium-232,35946.633
protactinium-233,37489.472
protactinium-234,40338.921
rubidium-100,-46247.064
rubidium-101,-42845.0
rubidium-102,-37707.0
rubidium-103,-33608.0
rubidium-94,-68562.785
rubidium-95,-65891.493
rubidium-96,-61354.349
rubidium-97,-58519.137
rubidium-98,-54369.146
rubidium-99,-51121.143
ruthenium-105,-85934.49
ruthenium-108,-83661.35
ruthenium-110,-80072.576
ruthenium-97,-86120.552
scandium-40,-20523.335
scandium-43,-36188.102
scandium-48,-44503.842
scandium-50,-44547.382
silicon-22,33338.0
silicon-29,-21895.07838
silicon-30,-24432.96
silicon-42,16470.0
xenon-112,-60026.338
xenon-113,-62203.618
xenon-116,-73046.724
xenon-127,-88321.56
