Subject,Object
"(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA",1107.391825
"(E)-2,3-didehydropristanoyl-CoA",1045.376175
(RS)-citalopram,324.163792
1-decanol,158.167
3-hydroxydocosanoyl-CoA,1105.434
3-hydroxyicosanoyl-CoA,1077.402
3-hydroxytetracosanoyl-CoA,1133.465
3-oxodocosanoyl-CoA,1103.418
3-oxoicosanoyl-CoA,1075.387
3-oxotetracosanoyl-CoA,1131.449
39 Draconis,2.12
51 Pegasi b,150.0
87 Sylvia,1.478e+19
acetaldehyde,44.026
acetone,58.042
adenosine triphosphate,506.996
Aleksandr Medved,120.0
Alexey Lutsenko,70.0
Alpha Caeli,1.48
alpha-linolenic acid,278.225
anandamide,347.282429
Apollo 13,49997.67
Apollo 13,5049.8
Apollo 14,50404.1
Apollo 14,5207.8
Apollo 15,52723.3
Apollo 15,5321.1
arachidonic acid,304.24
Ardalion Ignatyev,68.0
aspirin,180.042
Azelf,0.3
Big Ben,13.7
Bisharp,70.0
bismuth-195,194.980648762
bismuth-196,195.980666509
bismuth-197,196.978864929
bismuth-201,200.977008512
bismuth-202,201.9777331
bismuth-203,202.976892145
Blackjack Mulligan,150.0
Bronzong,187.0
BSAT-4a,3520.0
butan-1-ol,74.073
caesium-146,145.94062187
caesium-147,146.944261515
caesium-148,147.949639029
caesium-149,148.953569
caesium-150,149.959023
caesium-151,150.963253
californium-239,239.062554
californium-240,240.062255842
californium-241,241.06369
californium-242,242.063754533
cerium-122,121.93787
cerium-124,123.93031
cerium-125,124.92844
cerium-126,125.923971
cerium-127,126.922727
cerium-128,127.918911
cerium-129,128.918102
cerium-130,129.914736
cerium-131,130.914429465
cerium-132,131.911463846
CHEOPS,273.0
CHEOPS,58.0
Christian Knees,81.0
cidofovir,279.062
cocaine,303.147
Corinna Halke,45.0
crotonic acid,86.037
David Coulthard,72.5
Dawn,747.1
Dezső Gyarmati,83.0
Diego Ulissi,61.0
Dimitar Makriev,83.0
Dimitri Poliakov,75.0
Dorando Pietri,60.0
Durant,33.0
elaidic acid,282.256
Epsilon Eridani b,0.65
Epsilon Eridani b,0.66
Epsilon Eridani b,0.76
Epsilon Eridani b,0.78
Epsilon Eridani b,1.55
Epsilon Eridani b,1.7
erucic acid,338.318481
Escavalier,33.0
Evaldas Šiškevičius,78.0
Felipe Massa,59.0
Felix Großschartner,64.0
Ferrari F40,1254.0
Ferrari F50,1230.0
gadolinium-134,133.95566
gadolinium-135,134.952345
gadolinium-152,151.919798822
gadolinium-154,153.920873398
gadolinium-155,154.922629796
gadolinium-156,155.922130562
gadolinium-157,156.92396787
gadolinium-158,157.924111646
gadolinium-159,158.926396267
gadolinium-161,160.929676602
gadolinium-164,163.93583
gadolinium-165,164.939395
gadolinium-166,165.94146
gadolinium-168,167.94808
gadolinium-169,168.9526
Gallade,52.0
Gamma Doradus,1.57
genistein,270.053
Geordan Murphy,86.0
Gliese 436 b,0.05836
Gliese 436 b,0.0682
Gliese 436 b,0.07
Gliese 436 b,0.0728
Gliese 436 b,0.0729
Gliese 436 b,0.073
Gliese 436 b,0.0737
Gliese 436 b,0.08
Gliese 436 b,22.2
Gliese 436 b,25.4
GSAT-14,1982.0
haloperidol,375.140135
HAT-P-7,1.51
HD 109749 b,0.28
HD 149026 b,0.322
HD 149026 b,0.324
HD 149026 b,0.356
HD 149026 b,0.359
HD 149026 b,0.368
HD 149026 b,0.38
HD 27894,0.8
Helmut Recknagel,74.0
Hiten,197.4
HYLAS-4,4050.0
INSAT-1C,1190.0
INSAT-3B,2070.0
iPhone 4,137.0
iPhone 5,112.0
iPhone 5C,132.0
iPhone 5S,112.0
IRNSS-1I,1425.0
IRNSS-1I,614.0
Iron Man,1500.0
James Webb Space Telescope,6161.42
Juan José Lobato,64.0
Kalpana-1,1060.0
Kapteyn's Star,0.281
Kosmos 1001,6680.0
Kosmos 1074,6450.0
Kosmos 212,6530.0
Kosmos 213,6530.0
Kosmos 238,6520.0
Kosmos 496,6800.0
Kosmos 573,6800.0
Kosmos 613,6800.0
Kosmos 638,6570.0
Kosmos 670,6700.0
Kosmos 772,6750.0
Kyoko Kirigiri,48.0
lauryl alcohol,186.198
lead-181,180.996653386
lead-182,181.99267294
lead-183,182.991867668
lead-184,183.988135702
lead-185,184.987609989
lead-186,185.984238196
lead-187,186.983910836
lead-188,187.980874592
lead-189,188.980843639
lead-190,189.978081828
lead-191,190.978281
lead-192,191.975785115
lead-194,193.974011706
lead-196,195.972787466
lead-202,201.972151604
lead-204,203.97304342
lead-210,209.984188
Lewis Hamilton,68.0
Liliána Szilágyi,63.0
Luke Skywalker,73.0
Lunar Atmosphere and Dust Environment Explorer,49.6
Magnemite,6.0
Magnezone,180.0
Marianne Vos,58.0
Mercury-Redstone 4,1286.0
MESSENGER,1100.0
Metang,2025.0
Michał Kwiatkowski,65.0
Moon,73.4767
Nico Rosberg,71.0
Nikolas Cruz,131.0
oleic acid,282.256
oleic monoethanolamide,325.298079
ondansetron,293.152812
P-800 Oniks,3100.0
palladium-107,106.905128064
palladium-109,108.905950574
palladium-114,113.91036878
palladium-115,114.913658718
palladium-116,115.91429721
palladium-117,116.917954944
palladium-118,117.919066847
palladium-119,118.923340459
palladium-120,119.924551258
palladium-121,120.928950343
palladium-122,121.930631694
palladium-123,122.935126
palladium-124,123.937316
palladium-125,124.9419
palladium-126,125.944326
palladium-128,127.952238
palladium-91,90.950692
palladium-92,91.941406
palmidrol,299.282
Paul Castellano,120.0
PAZ,1350.0
potassium-34,33.99869
potassium-35,34.988005407
potassium-36,35.98130201
potassium-37,36.973375889
potassium-38,37.969081116
potassium-40,39.963998166
potassium-42,41.962402306
potassium-43,42.960734703
potassium-44,43.961586986
potassium-45,44.960691493
potassium-46,45.961981586
praseodymium-129,128.925095
praseodymium-131,130.92023496
praseodymium-133,132.916330561
praseodymium-144,143.91331075
Princess Leia,49.0
Probopass,340.0
propranolol,259.157229
propyl alcohol,60.058
QUESS,600.0
Rohini Satellite RS-1,35.0
Romuald Klim,103.0
rubidium-100,99.950351731
rubidium-101,100.954004
rubidium-102,101.95952
rubidium-103,102.96392
rubidium-94,93.926394818
rubidium-95,94.929262568
rubidium-96,95.934133393
rubidium-97,96.937177118
rubidium-98,97.941632317
rubidium-99,98.945119192
Sentinel-1B,2164.0
Sentinel-1B,2280.0
SES-14,4423.0
Silvan Dillier,75.0
silver-111,110.905296816
silver-113,112.906572858
silver-114,113.908823031
silver-115,114.908767363
silver-116,115.911386812
silver-117,116.911773974
silver-119,118.915570293
silver-121,120.920125282
silver-122,121.923664448
silver-123,122.925337062
silver-125,124.930735
silver-129,128.944197
Slowpoke,36.0
Smoochum,6.0
Solrock,154.0
Sonny Colbrelli,71.0
sorbic acid,112.052429
Soyuz 12,6720.0
Soyuz 2,6450.0
Soyuz 20,6570.0
Soyuz 22,6510.0
Soyuz 23,6760.0
Soyuz T-1,6450.0
Soyuz TM-1,6450.0
Soyuz TM-10,7150.0
Soyuz TM-14,7150.0
Soyuz TM-15,7150.0
Soyuz TM-16,7150.0
Soyuz TM-17,7150.0
Soyuz TM-18,7150.0
Soyuz TM-19,7150.0
Soyuz TM-2,7100.0
Soyuz TM-20,7170.0
Soyuz TM-21,7170.0
Soyuz TM-22,7150.0
Soyuz TM-23,7150.0
Soyuz TM-24,7150.0
Soyuz TM-26,7150.0
Soyuz TM-27,7150.0
Soyuz TM-3,7100.0
Soyuz TM-4,7070.0
Soyuz TM-5,7000.0
Soyuz TM-6,7070.0
Soyuz TM-7,7000.0
Soyuz TMA-2,7136.0
Soyuz TMA-9,7270.0
Sponde,15.0
Starmie,80.0
stearic monoethanolamide,327.314
Stefan van Dijk,74.0
Stuart O'Grady,73.0
Superbird-B3,5348.0
Tatra KT4,20300.0
Tatra T2,18100.0
Tatra T3,16000.0
Tatra T7B5,20000.0
Thomas Playford,117.0
Thompson submachine gun,4.8
Tomas Pettersson,69.0
Tomasz Marczyński,65.0
Vega,2.135
Verónica Boquete,54.0
Vincenzo Nibali,65.0
Vladimir Putin,77.0
Wynaut,14.0
Xatu,15.0
xenon-112,111.935559071
xenon-113,112.933221666
xenon-116,115.921581112
xenon-127,126.905
Yoda,13.0
Yuno Gasai,49.0
