Subject,Object
A Stop on the Journey,textile
Adoration of the Magi,wood
Alconétar Bridge,stone
Alcántara Bridge,stone
Altarpiece of Santos-o-Novo,oil paint
Appliqué inv. 724,cotton
Appliqué inv. 9472,cotton
Appliqué inv. 9619,cotton
Arms of Ailmer de Valence,parchment
Arms of De Grey of Ruthin,parchment
"Arms of De Quincy, Earls of Winchester",parchment
Arms of the Astley family,parchment
Arms of the Harrington family,parchment
Arms of the Hastings family,parchment
Arms of the Woodville family,parchment
"Arthur Bowes-Smyth, illustrated journal, 1787-1789",ink
"Arthur Bowes-Smyth, illustrated journal, 1787-1789",paint
Astrolabe-Quadrant: Gunter-type,boxwood
Astrolabe-Quadrant: Gunter-type,brass
Astrolabe-Quadrant: Sutton-type,brass
Astrolabe-Quadrant: Sutton-type,paper
Astrolabe-Quadrant: Universal Horizon/Azimuth,brass
Astrolabe: Stellar Compass,aluminum
Aureliano Leite,bronze
Bar Lev Line,reinforced concrete
Big Ben,kalkstein
Border of Heads and Palmettes from a Large Hanging,linen
Border of Heads and Palmettes from a Large Hanging,natural dye
"Boulder Safnern, Büttenberg/ located at: Historical Museum Bern",granite
"Boulder, Bärletwald",gneiss
"Boulder, Büttenberg, Crossing Bartolomäusweg/ Jungholzweg",granite
"Boulder, Chräjeberg, northern edge of the woods",granite
"Boulder, Chräjeberg, wayside outside of the forest",slate
"Boulder, Luterhölzli/ located at: Museum Schwab Biel",gneiss
"Boulder, Mahlewagwald I",gneiss
"Boulder, Mahlewagwald II",gneiss
Bust of a young girl-RHO.2007.00.1941,marble
Bust of Charles Bonnet-MAH 1825-0027,marble
Bust of Comenius,sandstone
Bust of Jean-Jacques Rousseau-MAH 1825-0028,marble
Butt of Lewis Lighthouse,brick
Caiyuanba Bridge,steel
Carolina Ribeiro,bronze
Chapa Circular,metal
Chimney at Camí de les Serratelles,brick
Chimney of Hort de la Colegiala,brick
Chimney of Hort de la Creu,brick
Chimney of Hort de Pobil,brick
Chimney of Hort del Notari,brick
Chimney of Jesús Bueno Factory,brick
"Chimney of Motor del Dorado, Catarroja",brick
"Chimney of Polígon 3, Parcel·la 23i, Catarroja",brick
Chimney of Ricardo Martínez brickyard,brick
Chimneys of brickyards in Alfara del Patriarca,brick
Christ before Pilate,wood
Christ flanked by two thieves,parchment
Cinqüentenário do 1º Vôo do 14 Bis de Santos Dumont,bronze
Complete Fragment #9,horsehair
Complete Fragment #9,linen
Complete Fragment #9,metal-wrapped thread
"Concurso ""Quem Deu Asas Ao Homem""",bronze
Courtesan and Her Attendant,silk
Courtesan Reading a Letter,silk
Crucifix,wood
Crucifix no. 434,wood
