Subject,Object
Bornova Ice Sports Hall,1751
Budvar Arena,6421
Eisstadion Biel,7000
Gyeongpo Ice Hall,12000
KV Arena,6000
MS Achille Lauro,300
MS Kungsholm,700
MS Marco Polo,826
MS Mikhail Lermontov,750
MS Renaissance,416
MS St. Louis,937
Olympia Eishalle,6136
Ostrava Aréna,12500
Queen Elizabeth 2,1900
RMS Queen Mary,2280
RMS Saxonia,929
RMS Transvaal Castle,728
SS Andrea Doria,1241
SS Flandre,784
SS Guglielmo Marconi,1750
SS Nieuw Amsterdam,1220
Stadio Olympica,12000
Volksbank Arena,300
Zimní stadion Hradec Králové,7700
