Subject,Object
30S ribosomal protein S7 Rv0683,RNA binding
50S ribosomal protein L1 Rv0641,tRNA binding
antibacterial peptide LL-37,protein binding
cation transporter ATPase J Rv3743c,hydrolase activity
chaperone protein DnaJ Rv2373c,heat shock protein binding
chaperone protein DnaJ Rv2373c,metal ion binding
ghrelin,growth hormone-releasing hormone activity
ghrelin,protein binding
phosphoglycerate kinase Rv1437,ATP binding
potassium-transporting ATPase subunit B Rv1030,metal ion binding
thioredoxin reductase Rv3913,oxidoreductase activity
UDP-N-acetylglucosamine--N-acetylmuramyl-,transferase activity
UDP-N-acetylglucosamine--N-acetylmuramyl-,"UDP-N-acetyl-D-glucosamine:N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase activity"
urease accessory protein UreF Rv1851,nickel cation binding
