Subject,Object
Animafest Zagreb,June
Camden International Film Festival,September
Chicago International Children's Film Festival,October
Gran Paradiso Film Festival,8. month
Gran Paradiso Film Festival,August
In the Palace International Short Film Festival,December
Israeli Film Festival of Philadelphia,March
Montreal International Animation Festival,November
New Zealand National Road Race Championships,1. month
New Zealand National Road Race Championships,January
San Diego Film Week,April
San Francisco Transgender Film Festival,November
TLVFest,June
Torremolinos International Fantastic Film Festival,October
