Subject,Object
Baštové sedlo,High Tatras
Beinn Achaladair,Grampian Mountains
Beinn Ìme,Grampian Mountains
Ben Lui,grampian mountains
Ben Vorlich,Grampian Mountains
Bystré sedlo,High Tatras
Bzová,Hostýnsko-vsetínská hornatina
Capia štrbina,High Tatras
Càrn Eige,Scottish Highlands
Dračia hlava,High Tatras
Dunsinane Hill,sidlaw hills
Ejnar Mikkelsen Fjeld,Watkins Range
Furkotské sedlo,High Tatras
Geoffrey Hills,Raggatt Mountains
Haworth Mesa,Wisconsin Range
High Tatras,eastern tatras
Hockett Meadow Ranger Station,blaue berge
Horseshoe Lake Ranger Station,blaue berge
Kopské sedlo,High Tatras
Kostolík,High Tatras
Kreiling Mesa,Miller Range
Kuzov,České Středohoří
Linn Mesa,Southern Cross Mountains
Lomnické sedlo,High Tatras
Malta Plateau,Victory Mountains
Malínská skála Sněžné,Bohemian-Moravian Highlands
Mont Donon,middle vosges
Orelle,Vanoise massif
Orlovická hora,Cham-Furth Depression
Pasecká skála,Bohemian-Moravian Highlands
Peperek,Bohemian-Moravian Highlands
Redwood Meadow Ranger Station,blaue berge
Rubers Law,cheviot hills
Rybenské Perničky,Žďárské vrchy
Saint-Colomban-des-Villards,Belledonne
Sedlo pod Svišťovkou,High Tatras
Sgùrr Alasdair,Cuillin
Sisco Mesa,Wisconsin Range
Stob Choire Claurigh,Grampian Mountains
Strawberry Cirque,Miller Range
Sýkoř,Žďárské vrchy
Tisůvka,Bohemian-Moravian Highlands
Valloire,Arves massif
Valmeinier,Massif des Cerces
Vernal Fall,blaue berge
Warner Valley Ranger Station,blaue berge
Ľaliové sedlo,High Tatras
