Subject,Object
Abraham Van Helsing,Abraham Van Helsing
Aeëtes,Αἰήτης
Al Hirschfeld,Albert Hirschfeld
Alec Douglas-Home,Alec Douglas-Home
Aleksandr Medved,Аляксандр Васілевіч Мядзведзь
Aline Bonetto,Aline Bonetto
André Darrigade,André Darrigade
Anthony of Padua,Antonius Patavinus
Ares,Ares
Artie Kornfeld,Arthur Lawrence Kornfeld
Artie Kornfeld,Artie Kornfeld
Arya Stark,Arya Stark
Asa of Judah,אָסָא
Aslaug,Aslaug Sigurdsdatter
Barry Allen,Barry Allen
Birger Ruud,Birger Ruud
Brian Austin Green,Brian Austin Green
Bud Yorkin,Alan David Yorkin
Clarence Darrow,Clarence Seward Darrow
Clive Allen,Clive Allen
Colleen Hanabusa,Colleen Hanabusa
Colleen Hanabusa,花房若子
Cyrus the Great,𐎤𐎢𐎽𐎢𐏁
Danny Elfman,Danny Elfman
David Coulthard,David Coulthard
David Ogden Stiers,David Allen Ogden Stiers
Devilance,Devilance
Dezső Gyarmati,Gyarmati Dezső
Dimitar Makriev,Димитър Макриев
Doctor Bedlam,Doctor Bedlam
Dorando Pietri,Dorando Pietri
Edgar Lungu,Edgar Lungu
Elimar Klebs,Elimar Klebs
Enyo,Ἐνυώ
Faramir,Faramir
Felipe Massa,Felipe Massa
Georges Wolinski,Georges Wolinski
Giorgio Andreoli,Giorgio Andreoli
Glorious Godfrey,Glorious Godfrey
Granny Goodness,Granny Goodness
Gérard Biard,Gérard Biard
Harold Wilson,James Harold Wilson
Heinrich Louis d'Arrest,Heinrich Louis d'Arrest
Hellboy,Hellboy
Iraq,جمهوریة العراق
Iraq,کۆماری عێراق
Jacob,יַעֲקֹב
Jean Reno,Jean Reno
Judy Baar Topinka,Judy Baar Topinka
Kalibak,Kalibak
Kanto,Kanto
Karsten Möring,Karsten Möring
Kazakhstan,Қазақстан РеспубликасыQazaqstan Respublikasy
Knud Kristensen,Knud Kristensen
Krishna,कृष्ण
Krishna,𑖎𑖴𑖬𑖿𑖜
Kristi Noem,Kristi Noem
Kyoko Kirigiri,霧切 響子
L. L. Zamenhof,לײזער לוי זאַמענהאָף
Lesotho,Kingdom of Lesotho
Lesotho,Muso oa Lesotho
Liliána Szilágyi,Szilágyi Liliána
László Rajk Jr.,Rajk László
Madame Rouge,Madame Rouge
Maria Martinez,Maria Montoya Martinez
Marianne Vos,Marianne Vos
Marie-Josephte Corriveau,Marie-Josephte Corriveau
Marilyn Monroe,Marilyn Monroe
Mario Abdo Benítez,Mario Abdo Benítez
May Berenbaum,May Berenbaum
Metallo,Metallo
Michael Tilson Thomas,Michael Tilson Thomas
Michał Kwiatkowski,Michał Kwiatkowski
Moon Jae-in,文在寅
Moon Jae-in,문재인
Morbius,"Morbius, the Living Vampire"
Mr. Freeze,Mr. Freeze
Nico Rosberg,Nico Rosberg
Nikolas Cruz,Nikolas Cruz
Omurtag of Bulgaria,Омуртаг
Port Moresby,Pot Mosbi
Princess Leia,Leia Organa
Robert Wagner,Robert Wagner
Romuald Klim,Рамуальд Іосіфавіч Клім
Saint George,Γεώργιος
Sergio Pablos,Sergio Pablos
Sita,सीता
Snegurochka,Снѣгурка
Snegurochka,Снѣгурочка
Soviet Union,Союз Советских Социалистических Республик
Spain,Espainiako Erresuma
Spain,Regne d'Espanya
Spain,Reino de España
Steppenwolf,Steppenwolf
Thor,Donar
Thor,Thor
Thor,Thunar
Thor,Thuner
Thor,Tor
Thor,Tórur
Thor,Þunor
Thor,Þunraz
Thor,Þór
Thor,ᚦᚢᚱ
Thor,ᚦᛟᚾᚨᚱᚨᛉ
Tomasz Marczyński,Tomasz Marczyński
Trigon,Trigon
Turkey,Türkiye Cumhuriyeti
Vatican City,Stato della Città del Vaticano
Vatican City,Status Civitatis Vaticanæ
Victor Emmanuel II,Vittorio Emanuele II
Vincenzo Nibali,Vincenzo Nibali
Virman Vundabar,Virman Vundabar
Vladimir Putin,Владимир Владимирович Путин
Wernher von Braun,Wernher von Braun
Yuno Gasai,我妻 由乃
Éowyn,Éowyn
