Subject,Object
42 Draconis b,Orbitar
Andrzej Sekuła,andrzej
Bibhā,Bibhā
Bill Justice,william
Bill Peet,william
Cocibolca,Cocibolca
Edgar Lungu,edgar
Epsilon Eridani b,AEgir
Felixvarela,Felixvarela
Formosa,Formosa
Glorious Godfrey,godfrey
HD 104985,Tonatiuh
HD 104985 b,Meztli
Jacob,izrael
Jacob,jacob
Koeia,Koeia
Kyoko Kirigiri,kyoko
Luke Skywalker,luke
Mario Abdo Benítez,mario
Mu Arae c,Dulcinea
Mu Arae d,Rocinante
Nenque,Nenque
Nervia,Nervia
Nikolas Cruz,jacob
Nushagak,Nushagak
Poerava,Poerava
Tapecue,Tapecue
Vasili Ippolitov,vasily
William Alexander Aitken,william
