Subject,Object
Acorn,acorn
Adams County,John Adams
Agostyán,Augustine of Hippo
Aitkin County,William Alexander Aitken
Akimiski Island Migratory Bird Sanctuary,akimiski island
Albany County,Albany
Albatross,albatross
Alberta,h.r.h. the princess louise
Albertfalva,"Albert Casimir, Duke of Teschen"
Aldwych tube station,Aldwych
Alexander Nevsky Cathedral,Alexander Nevsky
Allegheny County,Allegheny River
Alt Empordà,emporiae
Antarctica,ant-
Antarctica,arctic
Antelope,antelope
Argentina,element 47
"Ascension Cathedral, Almaty",Feast of the Ascension
Asenovgrad,Ivan Asen II of Bulgaria
Asnæs Power Station,Asnæs
Asseln wind farm,Asseln
Atri Cathedral,blessed mother
Austria,e
Austria,raabs an der thaya
Bach Ice Shelf,j s bach
Balchik,Balik
Bank and Monument stations,Bank of England
Bank and Monument stations,monument to the great fire of london
Bartolomeu de Gusmão Airport,Bartolomeu de Gusmão
Basilica of Saint Anthony of Padua,Anthony of Padua
Bay County,St. Andrews Bay
Bellingshausen Sea,fabian gottlieb benjamin von bellingshausen;
Beltrami County,Giacomo Beltrami
Benton County,Thomas Hart Benton
Berlin Hackescher Markt station,Hackescher Markt
Berlin Südkreuz station,Berlin
Berlin Südkreuz station,interchange station
Berlin Südkreuz station,s
Berlin-Gesundbrunnen station,Gesundbrunnen
Betriebsbahnhof Rummelsburg station,Rummelsburg
Beyazıt Tower,adlî
Black Knights' Tango,mexican republic
Black Knights' Tango,Mexico
Blagoevgrad,Dimitar Blagoev
Boston,county of lincoln
Bourg-en-Bresse Cathedral,blessed mother
Bourg-en-Bresse Cathedral,Virgin Mary
Brevard County,Theodore W. Brevard
Brisbane,brisbane river
Brown County,Joseph R. Brown
Brownlow Medal,Chas Brownlow
BSD licenses,4.4bsd
Buckower Chaussee station,Buckower Chaussee
Burgos,José Burgos
Buzfuz Rock,sergeant buzfuz
Callirrhoe,Callirrhoe
Canis Major,big
Canis Major,dog
Canis Major,laelaps
Canning Town,Canning Town
Carbon County,carbon
Carter County,Thomas H. Carter
Carver County,Jonathan Carver
Cass County,Lewis Cass
Cathedral of Saint Sava,Saint Sava
Cedar College,Psalm 92
Chad,chad lake
Chaldene,Chaldene
Charing Cross tube station,Charing Cross
Charles Sutton Medal,Charlie Sutton
Charlotte County,Charlotte Harbor
Charlottesville,Charlotte of Mecklenburg-Strelitz
Chelmsford,ford
Chesapeake,Chesapeake people
Chester County,Chester
Chot Nong Kae,Chot Nong Kae
Chouteau County,"Pierre Chouteau, Jr."
Church of Saint James the Greater,James
Church of Saint John the Baptist,John the Baptist
Church of Saint Nicholas,Saint Nicholas
Church of Saints Peter and Paul,Feast of Saints Peter and Paul
Church of Santa Giulia,Julia of Corsica
Church of St. Denis,Saint Dionysius
Cistercians,citeaux abbey
Claveria,Narciso Clavería y Zaldúa
Clay County,Henry Clay
Clive Churchill Medal,Clive Churchill
Colegio Mayor Diego de Covarrubias,Diego de Covarubias y Leyva
Colegio Mayor Universitario Chaminade,William Joseph Chaminade
Colegio Mayor Universitario San Juan Evangelista,John the Evangelist
Collier County,Barron Collier
"Collégiate church Saint-Martin, Picquigny",Martin of Tours
Cornell University,ezra cornell
Czech Republic,czech people
Dakota County,Sioux
December,10
December,christmas
December,winter
Delaware County,Delaware River
Delaware River,lord de la warr
Dia,Dia
Dickinson County,Donald M. Dickinson
Dimitrovgrad,Georgi Dimitrov
Dobrich,Dobrotitsa
Dobrich,fyodor i. tolbukhin
Don Du,Don Du
Dormition Cathedral,Dormition of the Theotokos
Dovey Belle,River Dovey
Duckterath station,Duckterath
Einstein Tower,a.einsten
Engelbrekt,Engelbrekt Engelbrektsson
Ensemble de Lancement Soyouz,soyuz
Ensted Power Station,Ensted
Erinome,Erinome
Eritrea,Red Sea
Euporie,Euporie
Fairy,fairy
Falls Church,The Falls Church
Flingern power station,Flingern
Forest Glen station,forest glen
Fothergill–Round–Mitchell Medall,Barry Round
Franklin,Benjamin Franklin
Fredericksburg,"Frederick, Prince of Wales"
Fremont County,John C. Frémont
Friedrich Loeffler Institute,friedrich loeffler
Gadsden County,James Gadsden
Gallatin County,Albert Gallatin
Genova Pra railway halt,Pra'
Gerlache Strait,adrien de gerlache
Gerlache Strait,belgica
Goiás,goyazes
Google,googol
Greene County,Nathanael Greene
Gromov Flight Research Institute,Mikhail Mikhaylovich Gromov
