Subject,Object
1983 German Grand Prix,AvD-Grosser Preis von Deutschland
1984 German Grand Prix,Grosser Preis von Deutschland
2009 European Grand Prix,LIII Grand Prix of Europe
2011 Australian Grand Prix,LXXVI Qantas Australian Grand Prix
A'a Trail,A'a Trail
Adams County,Adams County
Adjara,აჭარის ავტონომიური რესპუბლიკა
Aemilia gens,gens Aemilia
Alamosa County,Alamosa County
Albania,Republika e Shqipërisë
Albany County,Albany County
Allegheny County,Allegheny County
Ancient Greek,Ἀρχαία Ἑλληνική
Anoia,Anoia
Aomori Prefecture,青森県
Arabic,اللُّغَة العَرَبِيّة
Arapahoe County,Arapahoe County
Arthur,Arthur
Arthur's Seat,Suidhe Artair
Ashburn,Ashburn
Ashkelon,אַשְׁקְלוֹן
Ashmolean Museum,Ashmolean Museum
Asmara,ኣስመራ
Atlanta,Atlanta
Atri Cathedral,Concattedrale di Santa Maria Assunta
Aughleam,An Eachléim
Austrian German,Austriazismus
Azor,אָזוֹר
Baca County,Baca County
Baden-Powell,Baden-Powell
Baden-Württemberg,Baden-Württemberg
Bages,Bages
Bailyn,Bailyn
Bangladesh,গণপ্রজাতন্ত্রী বাংলাদেশ
Bangladesh,বাংলাদেশ
Barcelona,Barcelona
Batumi,ბათუმი
Bay County,Bay County
Belgrade,Beograd
Belgrade,Београд
Bellingshausen Sea,Bellingshausen Sea
Belovodskoye,Беловодск
Berlin,Berlin
Berlin Südkreuz station,Bahnhof Berlin Südkreuz
Bern,Berna
Beyazıt Tower,Beyazıt Kulesi
Biblioteca Nazionale Centrale di Roma,Biblioteca Nazionale Centrale di Roma
Biel/Bienne,Biel
Biel/Bienne,Bienne
Big Thicket National Preserve Visitor Center,Big Thicket National Preserve Visitor Center
Bistrița,Beszterce
Bistrița,Bistritz
Bistrița,Bistrița
Bitola,Битола
Black Ridge Canyons Wilderness,Black Ridge Canyons Wilderness
Blansko District,Okres Blansko
Blender Foundation,Blender Foundation
Bludenz,Bludenz
Bludenz District,Bezirk Bludenz
Bordeaux,Bordèu
Borno State,Borno State
Botswana,Botswana
Boudh district,Boudh
Bragi,Bragi
Brandenburg,Brandenburg
Braunau am Inn,Braunau am Inn
