Subject,Object
Civil Defence Cross of Honour,Nansen medal for Outstanding Research
Cross of Merit,Cross of Merit with Swords
George Cross,Victoria Cross
King Haakon VII Freedom Cross,Royal Norwegian Order of Merit
Meritorious Service Cross,sc
Meritorious Service Cross,Star of Courage
Military Cross,Conspicuous Gallantry Cross
Military Cross,Military Decoration for gallantry or exceptional devotion
Order of St. Sylvester,order of saint gregory the great
Pro Ecclesia et Pontifice,order of saint sylvester
Pro Ecclesia et Pontifice,Order of St. Sylvester
Royal Red Cross,Conspicuous Gallantry Cross
War Cross for Military Valour,Award for Civil Valor
