Subject,Object
Civil Defence Cross of Honour,Defence Service Medal with Laurel Branch
Cross of Merit,Military Cross of Merit
George Cross,Order of the Garter
King Haakon VII Freedom Cross,St. Olav's Medal With Oak Branch
Meritorious Service Cross,Medal of Military Valour
Military Cross,Distinguished Flying Cross
Order of St. Sylvester,pro ecclesia et pontifice
Pro Ecclesia et Pontifice,Benemerenti medal
Royal Red Cross,Distinguished Service Cross
War Cross for Military Valour,War Merit Cross (Italy)
