Subject,Object
Afghanistan,550
Alt Empordà,20000
Alt Empordà,20500
Alt Empordà,21200
Alt Empordà,21600
Alt Empordà,24700
Alt Penedès,27300
Alt Penedès,28100
Alt Penedès,28200
Anoia,19200
Anoia,19700
Anoia,20200
Anoia,20300
Australia,54348.23
Bages,23900
Bages,24100
Bages,24200
Bages,24600
Bages,29804
Baix Camp,20500
Baix Camp,21200
Baix Camp,21400
Baix Camp,22200
Baix Llobregat,27100
Baix Llobregat,27500
Baix Llobregat,28200
Baix Llobregat,28500
Baix Penedès,15900
Baix Penedès,16000
Baix Penedès,16400
Botswana,6710.99
Czech Republic,31707
Garraf,16200
Garraf,16300
Garraf,16600
Garraf,17500
Italy,32110
Japan,38430
New Zealand,41666.64
Norway,75704
Pallars Sobirà,20900
Pallars Sobirà,23100
Pallars Sobirà,24300
Pallars Sobirà,24400
Priorat,14900
Priorat,15100
Priorat,15700
Priorat,17800
Ribera d'Ebre,36000
Ribera d'Ebre,41100
Ribera d'Ebre,47600
Ribera d'Ebre,49100
Solsonès,21600
Solsonès,22100
Solsonès,22800
Solsonès,23700
Spain,29993.06
Thailand,6595
