Subject,Object
Albania,10677324852
Albania,1099559027
Albania,11386853113
Albania,1185315468
Albania,11861199830
Albania,11926926615
Albania,12044205549
Albania,12319834195
Albania,12776224496
Albania,12881352893
Albania,12890760315
Albania,13019726211
Albania,13228147516
Albania,15241458744
Albania,15379509891
Albania,15585105131
Albania,1578102105
Albania,17930565119
Albania,18032010563
Albania,1808177156
Albania,1857337995
Albania,1861163170
Albania,1880950864
Albania,1881412587
Albania,18882095518
Albania,1897050116
Albania,19017242585
Albania,2028553750
Albania,2051236250
Albania,2080796250
Albania,2097326250
Albania,2253090000
Albania,2258513974
Albania,23547179830
Albania,2392764853
Albania,2545964540
Albania,3199640815
Albania,3212121650
Albania,3480355258
Albania,3922100793
Albania,4348068242
Albania,5611496257
Albania,652174990
Albania,7184685781
Albania,8052077248
Albania,8896075004
Alberta,294818000000
Alt Empordà,2774600000
Alt Empordà,2815300000
Alt Empordà,2938300000
Alt Empordà,2946000000
Alt Empordà,3523300000
Alt Penedès,2883800000
Alt Penedès,2886100000
Alt Penedès,2957200000
Alt Penedès,2973900000
Anoia,2271200000
Anoia,2331000000
Anoia,2366200000
Anoia,2391600000
Argentina,103979106777
Argentina,105872372613
Argentina,108810885301
Argentina,116915052107
Argentina,126890235049
Argentina,127586973492
Argentina,141352630146
Argentina,164657930452
Argentina,18272123664
Argentina,189719984268
Argentina,198737095012
Argentina,228778917308
Argentina,232557260817
Argentina,236741715015
Argentina,24256667553
Argentina,24450604877
Argentina,25605249381
Argentina,257440000000
Argentina,258031750000
Argentina,26436857247
Argentina,268696750000
Argentina,272149750000
Argentina,28344705966
Argentina,283523000000
Argentina,284203750000
Argentina,28630474727
Argentina,287530508430
Argentina,292859000000
Argentina,298948250000
Argentina,31256284543
Argentina,31584210365
Argentina,33293199095
Argentina,332976484577
Argentina,34733000536
Argentina,361558037110
Argentina,385740508436
Argentina,423627422092
Argentina,447754683615
Argentina,486564085480
Argentina,487227125386
Argentina,51169499892
Argentina,52438647921
Argentina,524819892360
Argentina,52544000116
Argentina,526319673731
Argentina,530158122010
Argentina,545982375701
Argentina,552025140252
Argentina,557532320662
Argentina,56781000101
Argentina,594749285413
Argentina,632770284409
Argentina,632790070063
Argentina,643628393281
Argentina,646075277525
Argentina,69252328951
Argentina,72436777342
Argentina,76629728760
Argentina,76961923741
Argentina,78676842366
Argentina,84307486836
Argentina,88150891728
Argentina,89049453088
Argentina,97724004251
Australia,105060616984
Australia,1056112427190
Australia,110352144987
Australia,1148838233480
Australia,118492761338
Australia,1206836962281
Australia,1325582658156
Australia,1328414058378
Australia,134900602067
Australia,1351296372254
Australia,1392723834562
Australia,1398610616772
Australia,1427809041019
Australia,1468265356427
Australia,149987743732
Australia,1547532281116
Australia,1552703151616
Australia,1556735770437
Australia,1577123329410
Australia,1675418665067
Australia,1690858246994
Australia,1734451264656
Australia,1757022451653
Australia,176895390688
Australia,177267290706
Australia,180643265927
Australia,182481113598
Australia,18607682977
Australia,189495764955
Australia,193525337525
Australia,194041708043
Australia,19684003149
Australia,19923683187
Australia,21540963446
Australia,236161314544
Australia,23801123808
Australia,25977284156
Australia,27308964369
Australia,299875906679
Australia,30442724870
Australia,311426665219
Australia,312133923552
Australia,322806641300
Australia,325525379566
Australia,325975319455
Australia,32714085234
Australia,36684485869
Australia,368166023166
Australia,379629301675
Australia,389652212056
Australia,395788696012
Australia,399674421759
Australia,401341880620
Australia,41334726613
Australia,416167815092
Australia,435642611296
Australia,45217767234
Australia,467739079790
Australia,52042056074
Australia,614659980082
Australia,63833440102
Australia,695692898676
Australia,748417562769
Australia,855007458585
Australia,88965364775
Australia,928762122698
Australia,97304383449
Austria,10041659445
Austria,10939526218
Austria,11634569521
Austria,123682091858
Austria,12499863917
Austria,132584448257
Austria,132817124707
Austria,13647475854
Austria,15312791743
Austria,165811372382
Austria,173113449616
Austria,17788536733
Austria,189634029338
Austria,194314032056
Austria,196181599831
Austria,196477206829
Austria,202738023129
Austria,211724812267
Austria,212837224022
Austria,216421809125
Austria,217068085815
Austria,21973207929
Austria,235952581232
Austria,240094169510
Austria,260779834340
Austria,29399860144
Austria,299210411454
Austria,313952317330
Austria,333905979332
Austria,35051468639
Austria,379546097300
Austria,386760177589
Austria,389827789217
Austria,393687359770
Austria,39902300703
Austria,399290118782
Austria,406750487603
Austria,414926138132
Austria,426580502769
Austria,42791707448
Austria,428954737064
Austria,429234399096
Austria,438556021078
Austria,471400066091
Austria,480368403893
Austria,51343861460
Austria,61809208755
Austria,6624086313
Austria,67719055773
Austria,69114996009
Austria,70755997062
Austria,70996111962
Austria,71838528420
Austria,7346566037
Austria,73647694287
Austria,7793042529
Austria,81737498404
Austria,8414050621
Austria,9213648655
Austria,98648254168
Baix Camp,4017600000
Baix Penedès,1631900000
Cerdanya,395300000
Kobe metropolitan area,8427218685000
Kyoto metropolitan area,10117317538000
Osaka metropolitan area,45362486066000
Pallars Sobirà,147400000
Priorat,169200000
Ribera d'Ebre,808900000
Solsonès,296600000
