Subject,Object
2016 New York and New Jersey bombings,0
2017 Har Adar shooting,4
2017 Las Vegas shooting,59
2018 Strasbourg attack,5
"Aberdeen, Maryland shooting",4
Budyonnovsk hospital hostage crisis,147
France,593865
Hurricane Anita,10
Italy,713499
Jacksonville Landing shooting,3
Kyoto Animation arson attack,35
Kyoto Animation arson attack,36
Marjory Stoneman Douglas High School shooting,17
Munich massacre,12
Munich massacre,5
Pittsburgh synagogue shooting,11
September 11 attacks,2996
Sutherland Springs church shooting,26
Typhoon Kalmaegi,193
World War I,17000000
