Subject,Object
Aalten,11155
Aalten,11173
Aalten,11204
Aalten,11213
Aalten,11237
Aiglkofen,59
Aindling,614
Alkmaar,48917
Alkmaar,49036
Alkmaar,49473
Alkmaar,49740
Alkmaar,49778
Alkmaar,50002
Atchampet mandal,15068
Atlanta,215179
Außernbrünst,93
Australia,10852208
Avilés,35805
Babuganj Upazila,31663
Baguio,100220
Baguio,13814
Baguio,21934
Baguio,33517
Baguio,51158
Baguio,69685
Baguio,76922
Baguio,8082
Baguio,87731
Bakerganj Upazila,71537
Bamna Upazila,19537
Banaripara Upazila,34186
Barcelona,315
Barcelona,6166
Barcelona,6613
Barcelona,664476
Betagi Upazila,27922
Bhola Sadar Upazila,88068
Bollapalle,1182
Bollapalle,1196
Boston,273188
Boudh district,106961
Brand,1
Bubach,76
Burhanuddin Upazila,48534
Cagayan de Oro,10786
Cagayan de Oro,113321
Cagayan de Oro,133366
Cagayan de Oro,158021
Cagayan de Oro,190225
Cagayan de Oro,20192
Cagayan de Oro,39580
Cagayan de Oro,59910
Cagayan de Oro,90868
Carreño,4429
Castrillón,9611
Castropol,1322
Detroit,270446
Dornala mandal,10834
El Vendrell,41
El Vendrell,51
Essaouira,11988
Essaouira,16129
Essaouira,20290
Essaouira,24719
Florida,7931313
Freyung,1677
Frieberting,1
Gijón,122519
Goalpara district,198454
Gozón,4264
Haaksbergen,9814
Haaksbergen,9820
Haaksbergen,9865
Haaksbergen,9889
Haaksbergen,9895
Haaksbergen,9939
Hamar Municipality,1339
Hamar Municipality,15090
Hamar Municipality,1740
Hamar Municipality,4081
Hamar Municipality,6945
Hamar Municipality,985
Hartmannsöd,1
Haunersdorf,16
Heiß,1
Idaho,649299
Illinois,4884061
Indianapolis,342825
Jagannathpur Upazila,42866
Janakavarampanguluru mandal,12583
Kenitra,102177
Kenitra,138708
Kenitra,54158
Kenitra,74562
Kentucky,1748053
Kleinweichs,17
Kurichedu mandal,9632
Kölberg,1
Lailling,93
Lelystad,32214
Lelystad,32369
Lelystad,32592
Lelystad,32820
Lelystad,32870
Lelystad,33029
Lillehammer,14213
Lillehammer,1626
Lillehammer,1655
Lillehammer,1864
Lillehammer,2547
Lillehammer,6521
Llanes,5687
Los Angeles,1402522
Maine,569551
Manila,176319
Manila,198164
Manila,269221
Manila,285058
Manila,305104
Manila,354687
Manila,359892
Manila,409987
Manila,486293
Manpura Upazila,17080
Martur mandal,19317
Massachusetts,2646980
Mirzaganj Upazila,28205
Mitterfirmiansreut,102
Morocco,9275038
Nayagarh district,228315
New York City,3191691
Nuzendla,1113
Nuzendla,1253
Parchur mandal,15531
Patharghata Upazila,43085
Patuakhali Sadar Upazila,68813
Pennsylvania,5106601
Perlesreut,911
Pfarrhof,1
Philippines,26393906
Racherla mandal,9146
Ribadesella,2697
Riesberg,2
Santhamaguluru,2358
Santhamaguluru mandal,15344
Santhanuthala Padu mandal,16616
Schafweid,2
Scheuereck,3
Schönhof,4
Sperr,1
Tangutur mandal,16290
Taradell,27
Taradell,30
Taradell,55
Texel,6060
Texel,6064
Texel,6086
Texel,6143
Texel,6145
Texel,6189
Thrissur district,757029
Thrissur district,759210
Turkey,26075365
Turkey,26599261
Veligandla mandal,8231
Venkatachalam mandal,17133
Villaviciosa,6222
West Virginia,734235
Yerragondapalem mandal,14558
Zamboanga City,114782
Zamboanga City,149622
Zamboanga City,169542
Zamboanga City,185621
Zamboanga City,20359
Zamboanga City,227352
Zamboanga City,31170
Zamboanga City,59735
Zamboanga City,78476
