Subject,Object
Aiglkofen,53
Aindling,459
Altomünster,590
Außernbrünst,74
Bern,14897
Blansko,1024
Blansko,1142
Blansko,1521
Blansko,1923
Blansko,1966
Blansko,2106
Blansko,2336
Blansko,2560
Blansko,2804
Blansko,3081
Blansko,3259
Blansko,583
Blansko,631
Blansko,641
Blansko,766
Blansko District,30675
Brno,10807
Brno,14450
Brno,15866
Brno,23780
Brno,30637
Brno,31097
Brno,32130
Brno,33851
Brno,36327
Brno,37051
Brno,40676
Brno,42105
Brno,6396
Brno,7066
Brno,8535
Bubach,70
Freyung,885
Haunersdorf,15
Hony,43
Jindřichovice pod Smrkem,174
Jindřichovice pod Smrkem,178
Jindřichovice pod Smrkem,182
Jindřichovice pod Smrkem,192
Jindřichovice pod Smrkem,212
Jindřichovice pod Smrkem,231
Jindřichovice pod Smrkem,303
Jindřichovice pod Smrkem,327
Jindřichovice pod Smrkem,371
Jindřichovice pod Smrkem,406
Jindřichovice pod Smrkem,444
Jindřichovice pod Smrkem,460
Jindřichovice pod Smrkem,462
Jindřichovice pod Smrkem,463
Kleinweichs,16
Kleny,51
Lailling,82
Litoměřice,1064
Litoměřice,1072
Litoměřice,1196
Litoměřice,1413
Litoměřice,1486
Litoměřice,1715
Litoměřice,1977
Litoměřice,2045
Litoměřice,2057
Litoměřice,2107
Litoměřice,2233
Litoměřice,2358
Litoměřice,2575
Litoměřice,2724
Litoměřice,2768
Litoměřice,948
Litoměřice District,31312
Mitterfirmiansreut,91
Mostec,5
Mošnov,128
Mošnov,131
Mošnov,132
Mošnov,134
Mošnov,139
Mošnov,145
Mošnov,165
Mošnov,179
Mošnov,182
Mošnov,186
Mošnov,197
Mošnov,210
Mošnov,212
Mošnov,219
Mošnov,239
Nové Město pod Smrkem,1107
Nové Město pod Smrkem,1114
Nové Město pod Smrkem,1179
Nové Město pod Smrkem,1191
Nové Město pod Smrkem,1211
Nové Město pod Smrkem,719
Nové Město pod Smrkem,730
Nové Město pod Smrkem,748
Nové Město pod Smrkem,798
Nové Město pod Smrkem,825
Nové Město pod Smrkem,865
Nové Město pod Smrkem,878
Nové Město pod Smrkem,882
Nové Město pod Smrkem,885
Nové Město pod Smrkem,916
Perlesreut,254
Perlesreut,670
Perlesreut,81
Přísnotice,109
Přísnotice,130
Přísnotice,158
Přísnotice,170
Přísnotice,182
Přísnotice,214
Přísnotice,244
Přísnotice,245
Přísnotice,255
Přísnotice,264
Přísnotice,290
Přísnotice,296
Přísnotice,310
Přísnotice,320
Přísnotice,89
Schafweid,1
Scheiben,2
Seiling,2
Skrbeň,106
Skrbeň,115
Skrbeň,122
Skrbeň,133
Skrbeň,145
Skrbeň,147
Skrbeň,179
Skrbeň,214
Skrbeň,232
Skrbeň,242
Skrbeň,259
Skrbeň,280
Skrbeň,286
Skrbeň,314
Skrbeň,332
Staré Křečany,1008
Staré Křečany,1022
Staré Křečany,1043
Staré Křečany,1067
Staré Křečany,1081
Staré Křečany,1099
Staré Křečany,1128
Staré Křečany,368
Staré Křečany,444
Staré Křečany,495
Staré Křečany,523
Staré Křečany,530
Staré Křečany,545
Staré Křečany,568
Staré Křečany,928
Střílky,192
Střílky,206
Střílky,215
Střílky,218
Střílky,219
Střílky,221
Střílky,239
Střílky,243
Střílky,244
Střílky,252
Střílky,281
Střílky,282
Střílky,297
Střílky,298
Sulzbach,1
Thalöd,2
Trutnov,1803
Trutnov,1961
Trutnov,2044
Trutnov,2305
Trutnov,2462
Trutnov,2562
Trutnov,2782
Trutnov,2804
Trutnov,2950
Trutnov,3011
Trutnov,3165
Trutnov,3219
Trutnov,3480
Trutnov,4091
Trutnov,4141
Trutnov District,28508
Uherské Hradiště,1062
Uherské Hradiště,1202
Uherské Hradiště,1270
Uherské Hradiště,1598
Uherské Hradiště,2092
Uherské Hradiště,2201
Uherské Hradiště,2408
Uherské Hradiště,2719
Uherské Hradiště,3052
Uherské Hradiště,3363
Uherské Hradiště,3735
Uherské Hradiště,3902
Uherské Hradiště,743
Uherské Hradiště,853
Uherské Hradiště,928
Uherské Hradiště District,41268
Vinné,13
Waldhörn,2
Wurmsöd,1
