Subject,Object
Afghanistan,2941796
Albania,152752
Albania,155821
Albania,4039
Albania,41034
Albania,4353
Albania,4401
Albania,45137
Albania,4624
Albania,49630
Albania,5693
Argentina,261811
Argentina,270891
Argentina,289619
Argentina,341099
Argentina,378662
Argentina,399767
Argentina,413550
Argentina,420313
Argentina,424459
Argentina,431337
Argentina,449639
Argentina,460334
Argentina,480406
Argentina,480971
Argentina,495972
Argentina,536694
Australia,107065
Australia,110367
Australia,113787
Australia,117241
Australia,128818
Australia,152699
Australia,171403
Australia,178485
Australia,179632
Australia,181823
Australia,183026
Australia,194963
Australia,200097
Bangladesh,10370604
Bangladesh,11345073
Bangladesh,11376435
Bangladesh,11727992
Bangladesh,12582694
Bangladesh,12804658
Bangladesh,9755446
Botswana,74929
Botswana,78309
Botswana,81844
Botswana,89002
Cameroon,1773968
Cameroon,1795056
Cameroon,1840773
Central African Republic,693467
Central African Republic,698492
Central African Republic,703669
Chad,1684817
Chad,1710959
Chad,1727279
Chad,1729792
Chad,1757281
Czech Republic,10695
France,104045
France,110455
France,170921
France,180726
France,195131
France,196009
France,240620
France,248430
France,29418
France,37737
France,45653
France,46676
France,56390
France,62096
France,74721
France,75809
Ghana,1000898
Ghana,1041770
Ghana,1417698
Ghana,1615385
Ghana,1671352
Ghana,1769203
Ghana,1895721
Ghana,1949973
Ghana,2300866
Ghana,2468533
Ghana,2474818
Ghana,2566443
Ghana,2622470
Ghana,2722919
Ghana,2800560
India,60824152
Iraq,1826357
Iraq,1956204
Iraq,2017804
Iraq,2308398
Iraq,2345088
Israel,16960
Israel,17266
Israel,19090
Israel,22626
Israel,22711
Israel,24906
Israel,25164
Israel,26676
Israel,26922
Israel,28313
Israel,28520
Israel,28653
Israel,31636
Israel,31763
Israel,32106
Israel,32400
Israel,38286
Italy,178653
Italy,197269
Italy,206386
Italy,222965
Italy,229657
Italy,244825
Italy,299896
Italy,316082
Italy,322428
Italy,332877
Italy,387757
Italy,408723
Italy,454069
Italy,482987
Italy,556935
Italy,599521
Italy,682033
Japan,107359
Japan,110324
Japan,128574
Japan,145622
Japan,146678
Japan,153722
Japan,187120
Japan,204538
Japan,222701
Japan,227229
Japan,63608
Japan,72913
Japan,82885
Japan,83141
Japan,91018
Kazakhstan,16585
Kazakhstan,19912
Kazakhstan,22193
Kazakhstan,233910
Kazakhstan,24659
Kazakhstan,36790
Kyrgyzstan,104763
Kyrgyzstan,123429
Kyrgyzstan,132270
Kyrgyzstan,133381
Kyrgyzstan,140659
Kyrgyzstan,143372
Lesotho,117260
Lesotho,122664
Lesotho,123309
Lesotho,124878
Lesotho,126013
Lesotho,130846
Lesotho,131374
Lesotho,135925
Lesotho,138963
Lesotho,142364
Lesotho,143483
Lesotho,143599
Lesotho,148941
Lesotho,149867
Lesotho,151913
Lesotho,185204
Mali,1984207
Mali,2002971
Mali,2011941
Mali,2289339
Mali,2301534
Mali,2474516
Mauritius,19949
Mauritius,26915
Mauritius,34739
Mauritius,38550
Mauritius,40497
Mauritius,45082
Morocco,1137547
Morocco,1328279
Morocco,1539615
Morocco,1860460
Morocco,1953002
Morocco,2078202
Morocco,2163382
Netherlands,11003
Netherlands,14021
Netherlands,18711
Netherlands,20000
Netherlands,20691
Netherlands,22596
Netherlands,22758
Netherlands,26817
Netherlands,29450
Netherlands,31536
Netherlands,33674
Netherlands,34585
Netherlands,38465
Netherlands,54506
New Zealand,11792
New Zealand,14509
New Zealand,15938
New Zealand,16794
New Zealand,17004
New Zealand,19318
New Zealand,19522
New Zealand,41950
North Korea,610009
North Korea,66741
Norway,18627
Palau,43
Palau,539
Paraguay,210698
Paraguay,225088
Paraguay,233495
Paraguay,235773
Paraguay,239554
Paraguay,241118
Paraguay,248767
Paraguay,255598
Paraguay,270296
Paraguay,278080
Paraguay,278448
Paraguay,284138
Paraguay,287226
Peru,241420
Peru,255941
Peru,262289
Peru,277026
Peru,290196
Peru,310928
Peru,320927
Peru,329922
Peru,332845
Peru,360442
Peru,400778
Peru,407042
Peru,429153
Peru,476745
Peru,510748
Peru,614346
Philippines,1070690
Philippines,1976507
Thailand,1025331
Turkey,1378723
