Subject,Object
Analysis of Wikipedia's Translation Tool and its uses in Education,8
Classification of Knowledge Organization Systems with Wikidata,8
"Combining Dictionaries, Wordnets and other Lexical Resources – Advantages and Challenges",4
El la skizlibro,65
Freden,98
Introducing Wikidata to the Linked Data Web,16
Madame Bovary,405
Open Research Knowledge Graph: Next Generation Infrastructure for Semantic Scholarly Knowledge,4
"PDF Reference, fifth edition",1236
"PDF Reference, sixth edition",1310
"PDF Reference, third edition",978
RDFShape: An RDF playground based on Shapes,4
Sakuntala,149
T2WML: Table To Wikidata Mapping Language,4
The Mansions of the Gods,48
Vandalism Detection in Wikidata,10
Wikidata as semantic representation platform of the scientific achievements of the biomedical Collaborative Research Centre 1002,1
"XML Data Encoding Specification for Trusted Data Format, version 3",55
