Subject,Object
artist-info artist ID,182800
artist-info curator ID,7504
artist-info location ID,12285
Ashmolean Museum,1000000
Biblioteca Casanatense,2190
Biblioteca Casanatense,312392
Biblioteca Casanatense,35000
Biblioteca Casanatense,402410
Biblioteca Casanatense,419765
Biblioteca Casanatense,448428
Biblioteca Casanatense,6500
Biblioteca Nazionale Centrale di Roma,174700
Biblioteca Nazionale Centrale di Roma,175268
Biblioteca Nazionale Centrale di Roma,2000
Biblioteca Nazionale Centrale di Roma,6832999
Biblioteca Nazionale Centrale di Roma,8500000
Biblioteca Nazionale Centrale di Roma,9000000
Biblioteca Nazionale Centrale di Roma,9070000
Biblioteca Nazionale Centrale di Roma,9423372
Biblioteca Riccardiana,133144
Biblioteca Riccardiana,133471
Biblioteca Riccardiana,133725
Biblioteca Riccardiana,4460
Biblioteca Riccardiana,725
Biblioteca Riccardiana,88588
Biblioteca Riccardiana,96600
Dictionnaire critique des historiens de l'art ID,316
DoME artist ID,13000
Information Center for Israeli Art artist ID,6108
Royal Library of Turin,186
Royal Library of Turin,250000
Royal Library of Turin,300000
Royal Library of Turin,320000
Royal Library of Turin,342000
Royal Library of Turin,4500
Royal Library of Turin,5500
SFMOMA artist ID,8251
