Subject,Object
1964 United Kingdom general election,630
Alabama Senate,35
February 1974 United Kingdom general election,635
Legislative Assembly of Pernambuco,49
Legislative Assembly of Santa Catarina,40
legislative body of Wicklow County Council,32
October 1974 United Kingdom general election,635
Parliament of Montenegro,81
Pennsylvania State Senate,50
Pontifical Commission for Vatican City State,7
Socialists and United to Advance Parliamentary Group,17
Ticino,2
Vermont Senate,30
