Subject,Object
American Samoa House of Representatives,21
BCF Arena,6700
Borås Ishall,3860
Bundestag of Germany,709
Docklands Stadium,55436
Docklands Stadium,56771
Dáil Éireann,160
Faurot Field,61620
Faurot Field,71168
Friedrich-Ludwig-Jahn-Stadion,30000
Hands Oval,5000
Helsinki Ice Hall,8200
House of Commons,650
Hubert H. Humphrey Metrodome,64121
James B. Sheffield Olympic Skating Rink,7500
Kauffman Stadium,37903
legislative body of Carlow County Council,18
legislative body of Clare County Council,28
legislative body of Cork County Council,55
legislative body of Donegal County Council,37
legislative body of Galway County Council,39
legislative body of Kildare County Council,40
legislative body of Kilkenny County Council,24
legislative body of Limerick City and County Council,40
legislative body of Mayo County Council,30
legislative body of Roscommon County Council,18
legislative body of Sligo County Council,18
Malmö Isstadion,5750
municipal Chamber of Barueri,21
municipal Chamber of Embu das Artes,17
municipal Chamber of Foz do Iguaçu,15
municipal Chamber of Governador Valadares,21
municipal Chamber of Gravataí,21
municipal Chamber of Imperatriz,21
municipal Chamber of Ipatinga,19
municipal Chamber of Juazeiro do Norte,21
municipal Chamber of Marabá,20
municipal Chamber of Sumaré,21
municipal Chamber of Taboão da Serra,13
municipal Chamber of Viamão,21
municipal Chamber of Volta Redonda,21
municipal Chamber of Várzea Grande,21
Olympia Eishalle,1427
Olympia Eishalle,6142
Olympia Eishalle,6256
Palais Garnier,1900
Robertson Oval,8000
Shayba Arena,7000
Skalica Ice Stadium,3214
Stjernehallen,2400
Twickenham Stoop,14800
Vikingskipet,10600
Waverley Park,2000
Western Hall,5139
White City Stadium,93000
