Subject,Object
"Belford Roxo mayoral election, 2016 - second round",29557
Eighth Amendment of the Constitution of Ireland,8625
Ninth Amendment of the Constitution of Ireland,40162
"Petrópolis mayoral election, 2016 - second round",21401
"Serra mayoral election, 2016 - second round",12265
"State elections in Acre in 2014 for Governor, first round",24029
"State elections in Acre in 2014 for Governor, second round",8480
Thirty-seventh Amendment of the Constitution Bill 2018,22236
Twentieth Amendment of the Constitution of Ireland,109066
"Volta Redonda mayoral election, 2016 - first round",14708
"Volta Redonda mayoral election, 2016 - second round",8269
