Subject,Object
Altes Museum,antikensammlung berlin
BCF Arena,hc fribourg-gotteron
Borås Ishall,Borås HC
Docklands Stadium,bombers
Docklands Stadium,carlton blues
Docklands Stadium,footscray bulldogs
Docklands Stadium,kangaroos
Docklands Stadium,manly-warringah melbourne storm
Docklands Stadium,melbourne renegades
Docklands Stadium,melbourne victory
Docklands Stadium,saints
Faurot Field,athletics of the university of missouri-columbia
FIU Arena,FIU Panthers
Hands Oval,south bunbury football club
Helsinki Ice Hall,HIFK Hockey
Horácký zimní stadion,HC Dukla Jihlava
Hubert H. Humphrey Metrodome,minnesota golden gophers football
Hubert H. Humphrey Metrodome,minnesota strikers
Hubert H. Humphrey Metrodome,minnesota timberwolves
Hubert H. Humphrey Metrodome,minnesota twins
Hubert H. Humphrey Metrodome,minnesota vikings
Hvidovre Icehockey Club,Hvidovre Ishockey Klub
Ice rink at the West Station,Essen Mosquitoes
James B. Sheffield Olympic Skating Rink,1932 Winter Olympics
Kauffman Stadium,kansas city royals
KV Arena,hc energie karlovy vary
KV Arena,HC Karlovy Vary
KV10,Amenmesse
KV11,rameses
KV11,Ramesses III
KV13,Chancellor Bay
KV15,sethos ii
KV15,Seti II
KV18,Ramesses X
KV19,Mentuherkhepeshef
KV42,Merytre-Hatshepsut
KV46,Yuya
KV47,akhenre setepenre siptah
KV47,Siptah
Malmö Isstadion,malmö if herr
Memorial Athletic and Convocation Center,Kent State Golden Flashes
Olympia Eishalle,ehc munich
Olympia Eishalle,EHC München
Palais Garnier,opéra
Reichstag building,bundestag of germany
Robertson Oval,New South Wales cricket team
Shayba Arena,2014 winter olympic games
Skalica Ice Stadium,HK 36 Skalica
Slavkov Castle,"castle of slavkov - austerlitz, library"
Slavkov Castle,"moravian regional archives in brno, state district archives in vyskov with place of business in slavkov u brna, library"
Somerset House,courtauld gallery
Somerset House,royal society of literature
Stadio Olympica,SG Cortina
Stjernehallen,fredrikstad kk
Stjernehallen,Stjernen Hockey
UNF Arena,North Florida Ospreys
University Arena,Western Michigan Broncos women's basketball
Volksbank Arena,HSV Hamburg
Waverley Park,hawks
Western Hall,western illinois leathernecks men's basketball
Western Hall,western illinois leathernecks women's basketball
Western Hall,western illinois military tract state normal school
Western Hall,Western Illinois University
White Auditorium,Emporia State University
White City Stadium,1908 summer olympics
WV22,Amenhotep III
Zimní stadion,HC Kladno
