Subject,Object
Abraham,prophet
Abraham,rasul
Ahmed Aboutaleb,mayor
Ahmed Aboutaleb,pol
Al Hirschfeld,artist
Alec Douglas-Home,pol
Aleksandr Medved,coach
Alexander Courage,musical artist
Artie Kornfeld,musical artist
Aya Sumika,actor
Bert Clay,afl player
Bert Clay,Australian rules footballer
Brian Austin Green,actor
Brian Austin Green,musical artist
Bud Yorkin,actor
Cable,superhero
Catty,circus performer
Charlie Naismith,afl player
Charlie Naismith,Australian rules footballer
Clarence Darrow,pol
Colleen Hanabusa,pol
Creigh Deeds,pol
Cyborg,student
Cyborg,superhero
Danny Elfman,actor
Danny Elfman,musical artist
David,sovereign
David,writer
David Ogden Stiers,actor
Dezső Gyarmati,pol
Diosphos Painter,artist
Doug Gillespie,Australian rules footballer
Dylan Bruno,actor
Edgar Lungu,pol
Edward H. Plumb,musical artist
Faramir,sword-fighter
Fedir Bohatyrchuk,pol
François Vauglin,pol
Frederick Heriot,pol
Fyodor Khitruk,artist
Giddy,circus performer
Harold Wilson,esperantanaso
Harold Wilson,pol
Hellboy,sword-fighter
Henri Privat-Livemont,artist
Hetain Patel,artist
Inderpal Grewal,anthropologist
Ivor Clay,afl player
Ivor Clay,cricketer
Jean Reno,actor
Joseph,religious leader
Judy Baar Topinka,pol
Karsten Möring,pol
Knud Kristensen,pol
Kristi Noem,pol
Kyoko Kirigiri,high school student
L. L. Zamenhof,esperantanaso
Lisa Simpson,american president
Luke Skywalker,jedi
László Rajk Jr.,actor
László Rajk Jr.,pol
Madame Rouge,actor
Maid Marian,socialite
Maria Martinez,artist
Marianne Vos,speed skater
Marilyn Monroe,actor
Marilyn Monroe,musical artist
Mario Abdo Benítez,pol
Matthew Yang King,actor
May Berenbaum,zoologist
Maysoon Zayid,actor
Michael Tilson Thomas,musical artist
Moka Akashiya,student
Moon Jae-in,pol
Moses,military leader
Moses,prophet
Mrs. Jumbo,circus performer
Nikolas Cruz,child
Nikolas Cruz,pupil
Peter Sandloff,musical artist
Prince John,ruler
Princess Leia,pol
Prissy,circus performer
Professor Hamilton,fictional scientist
Robert Wagner,actor
Romuald Klim,hammer thrower
Russian,mercenary
Sam Witwer,actor
Sam Witwer,musical artist
Sarabi,hunter
Sarafina,hunter
Sheila Hicks,artist
Sten Stensen,speed skater
Vasili Ippolitov,coach
Vasili Ippolitov,speed skater
Vermont Senate,pol
Vladimir Putin,pol
Yoda,jedi
Yuno Gasai,pupil
Yuno Gasai,sword-fighter
Éowyn,sword-fighter
