Subject,Object
Captain America: The Winter Soldier,amnesia
Captain America: The Winter Soldier,d
Captain America: The Winter Soldier,huntress
Captain America: The Winter Soldier,terrorism
Chinese Journal of Physics,general physics
Duke University Press,arts and humanities
Duke University Press,social science
Find My Friends,com.apple.mobileme.fmf1
Find My Friends,find my
Golden Kamuy,aino
"International Conference on Acoustics, Speech, and Signal Processing",signal capture
Journal of Physics B,general physics
Miracle of the White Stallions,2nd world war
Miracle of the White Stallions,horse
My Way,determining your own goals
Patterns of Force,2nd world war
Photo Booth,com.apple.photo-booth
Photo Booth,photo booth
Proceedings of the National Academy of Sciences of the United States of America,basic engineering
Proceedings of the National Academy of Sciences of the United States of America,clinical medicine
Proceedings of the National Academy of Sciences of the United States of America,empirical sciences
Pulp Fiction,crime syndicate
Sanyohimeji-higashi interchange,Japan National Route 372
Saving Mr. Banks,alcohol addiction
Saving Mr. Banks,dysfunctional family
Smallville,superhero fiction
Smallville,television adaptation
The American Journal of Medicine,clinical medicine
"The Annunciation, with Saint Emidius",annunciation
The BFG,man-eater
The BFG,riesen
The City on the Edge of Forever,trolley dilemma
The Godfather,crime syndicate
The Godfather Part II,crime syndicate
The Paranoid Style in American Politics,complotist
The Paranoid Style in American Politics,conspiracy theories
Wikidata,library linked data
Wowpedia,vanilla wow
Wowpedia,warcraft fictional universe
