Subject,Object
Bund für Umwelt und Naturschutz Deutschland,president
Comarcal Council of Baix Camp,president of Comarcal Council of Baix Camp
Comarcal Council of Baix Penedès,president of Comarcal Council of Baix Penedès
Comarcal Council of Priorat,president of Comarcal Council of Priorat
Comarcal Council of Ribera d'Ebre,president of Comarcal Council of Ribera d'Ebre
Department for Education and Skills,Cabinet Secretary for Education and Skills
Department of Education,Minister of Education
Department of Education and Skills,Minister for Education and Skills
Government of Maryland,governor of maryland
Legislative Assembly of Amapá,president of the Legislative Assembly of Amapá
Legislative Assembly of Espírito Santo,president of the Legislative Assembly of Espírito Santo
Legislative Assembly of Maranhão,president of the Legislative Assembly of Maranhão
Legislative Assembly of Mato Grosso do Sul,president of the Legislative Assembly of Mato Grosso do Sul
Legislative Assembly of Minas Gerais,president of the Legislative Assembly of Minas Gerais
Legislative Assembly of Paraná,president of the Legislative Assembly of Paraná
Legislative Assembly of Pernambuco,president of the Legislative Assembly of Pernambuco
Legislative Assembly of Rio Grande do Sul,president of the Legislative Assembly of Rio Grande do Sul
Legislative Assembly of Roraima,president of the Legislative Assembly of Roraima
Legislative Assembly of Santa Catarina,president of the Legislative Assembly of Santa Catarina
Legislative Assembly of Sergipe,president of the Legislative Assembly of Sergipe
Legislative Assembly of Tocantins,president of the Legislative Assembly of Tocantins
Legislative Chamber of Federal District,president of the Legislative Chamber of the Brazilian Federal District
Ministry of Education and Research,Minister for Education and Science
Ministry of Education and Research of Norway,Minister of Education and Research
"Ministry of Education, Culture and Sport","Minister of Education, Culture and Sport"
Pontifical Commission for Vatican City State,president of the governatorate
Roman Catholic Diocese of Bayeux,bishop of Bayeux et Lisieux
Roman Catholic Diocese of Sisak,Bishop of Sisak
Roman Catholic Diocese of Tarazona,Bishop of Tarazona
Roman Catholic Diocese of Treviso,bishop of Treviso
Roman Catholic Diocese of Varaždin,bishop of Varaždin
Roman Catholic Diocese of Vicenza,bishop of Vicenza
Roman Catholic Diocese of Warszawa-Praga,Bishop of Warsaw-Praga
Roman Catholic Diocese of Évry–Corbeil-Essonnes,bishop of Évry-Corbeil-Essonnes
Roman Catholic Diocese of Šibenik,Bishop of Šibenik
Trois-Rivières,mayor of trois-rivières
United States Department of Education,United States Secretary of Education
