Subject,Object
Associazione Calcio Milan,black
Australia,color green
Bristol Bears,#ffffff
Bristol Bears,blue
CA Brive,#ffffff
CA Brive,black
Denmark national football team,#ffffff
Denmark national football team,firebrick
Derry City F.C.,red
Earth Party,#ffffff
Earth Party,color green
Exeter Chiefs,black
Harlequin F.C.,azure
Harlequin F.C.,color gray
Harlequin F.C.,garnet
Harlequin F.C.,maroon
Inter Milan,black
Inter Milan,blue
Leicester Tigers,#ffffff
Leicester Tigers,color green
Leicester Tigers,color red
Liverpool F.C.,red
Nea Salamis Famagusta FC,red
Nintendo,#ffffff
Nintendo,color red
Worcester Warriors,blue
