Subject,Object
0,vital articles level 4
1,vital articles level 4
1927 Irish Open Badminton Championships,WikiProject Badminton/tournament focus list
1949 Filipino Badminton Championships,WikiProject Badminton/tournament focus list
1950 Filipino Badminton Championships,WikiProject Badminton/tournament focus list
1951 Filipino Badminton Championships,WikiProject Badminton/tournament focus list
1952 Filipino Badminton Championships,WikiProject Badminton/tournament focus list
1958 Swedish Open Badminton Championships,WikiProject Badminton/tournament focus list
1962 Swedish Open Badminton Championships,WikiProject Badminton/tournament focus list
1962 US Open Badminton Championships,WikiProject Badminton/tournament focus list
1963 Australian Badminton Championships,WikiProject Badminton/tournament focus list
1963 Uber Cup,wikiproject badminton/tournament focus list
1966 Uber Cup,wikiproject badminton/tournament focus list
1967 Australian Badminton Championships,WikiProject Badminton/tournament focus list
1967 Swedish Open Badminton Championships,WikiProject Badminton/tournament focus list
1968 Irish Open Badminton Championships,WikiProject Badminton/tournament focus list
1969 German Open Badminton Championships,WikiProject Badminton/tournament focus list
1969 Swedish Open Badminton Championships,WikiProject Badminton/tournament focus list
1972 Swedish Open Badminton Championships,WikiProject Badminton/tournament focus list
1973 European Junior Badminton Championships,WikiProject Badminton/tournament focus list
1973 German Open Badminton Championships,WikiProject Badminton/tournament focus list
1973 Swedish Open Badminton Championships,WikiProject Badminton/tournament focus list
1974 German Open Badminton Championships,WikiProject Badminton/tournament focus list
1975 Uber Cup,wikiproject badminton/tournament focus list
1976 Asian Junior Badminton Championships,WikiProject Badminton/tournament focus list
1976 German Open Badminton Championships,WikiProject Badminton/tournament focus list
1977 European Junior Badminton Championships,WikiProject Badminton/tournament focus list
1978 Pan American Badminton Championships,WikiProject Badminton/tournament focus list
1978 Uber Cup,wikiproject badminton/tournament focus list
1979 European Junior Badminton Championships,WikiProject Badminton/tournament focus list
1981 Uber Cup,wikiproject badminton/tournament focus list
1983 European Junior Badminton Championships,WikiProject Badminton/tournament focus list
1983 German Open Badminton Championships,WikiProject Badminton/tournament focus list
1984 African Badminton Championships,WikiProject Badminton/tournament focus list
1984 German Open Badminton Championships,WikiProject Badminton/tournament focus list
1984 Thailand Open Badminton Championships,WikiProject Badminton/tournament focus list
1984 Welsh Badminton Championships,WikiProject Badminton/tournament focus list
1985 European Junior Badminton Championships,WikiProject Badminton/tournament focus list
1985 German Open Badminton Championships,WikiProject Badminton/tournament focus list
1985 Welsh Badminton Championships,WikiProject Badminton/tournament focus list
1986 Chinese Taipei Open Badminton Championships,WikiProject Badminton/tournament focus list
1986 US Open Badminton Championships,WikiProject Badminton/tournament focus list
1986 Welsh Badminton Championships,WikiProject Badminton/tournament focus list
1987 Chinese Taipei Open Badminton Championships,WikiProject Badminton/tournament focus list
1987 German Open Badminton Championships,WikiProject Badminton/tournament focus list
1987 Welsh Badminton Championships,WikiProject Badminton/tournament focus list
1988 Chinese Taipei Open Badminton Championships,WikiProject Badminton/tournament focus list
1988 Swedish Open Badminton Championships,WikiProject Badminton/tournament focus list
1988 Welsh Badminton Championships,WikiProject Badminton/tournament focus list
1989 Chinese Taipei Open Badminton Championships,WikiProject Badminton/tournament focus list
1989 Welsh Badminton Championships,WikiProject Badminton/tournament focus list
1990 Irish Open Badminton Championships,WikiProject Badminton/tournament focus list
1990 Welsh Badminton Championships,WikiProject Badminton/tournament focus list
1991 Estonian Badminton Championships,WikiProject Badminton/tournament focus list
1991 Welsh Badminton Championships,WikiProject Badminton/tournament focus list
1992 Irish Open Badminton Championships,WikiProject Badminton/tournament focus list
1992 Thailand Open Badminton Championships,WikiProject Badminton/tournament focus list
1992 Welsh Badminton Championships,WikiProject Badminton/tournament focus list
1993 Irish Open Badminton Championships,WikiProject Badminton/tournament focus list
1993 Pan American Badminton Championships,WikiProject Badminton/tournament focus list
1993 Thailand Open Badminton Championships,WikiProject Badminton/tournament focus list
1993 Welsh Badminton Championships,WikiProject Badminton/tournament focus list
1994 Estonian Badminton Championships,WikiProject Badminton/tournament focus list
1994 Irish Open Badminton Championships,WikiProject Badminton/tournament focus list
1994 Thailand Open Badminton Championships,WikiProject Badminton/tournament focus list
1995 Irish Open Badminton Championships,WikiProject Badminton/tournament focus list
1995 Thailand Open Badminton Championships,WikiProject Badminton/tournament focus list
1996 Estonian Badminton Championships,WikiProject Badminton/tournament focus list
1996 Irish Open Badminton Championships,WikiProject Badminton/tournament focus list
1996 Thailand Open Badminton Championships,WikiProject Badminton/tournament focus list
1997 Asian Junior Badminton Championships,WikiProject Badminton/tournament focus list
1997 Irish Open Badminton Championships,WikiProject Badminton/tournament focus list
1997 Thailand Open Badminton Championships,WikiProject Badminton/tournament focus list
1998 African Badminton Championships,WikiProject Badminton/tournament focus list
1998 Asian Junior Badminton Championships,WikiProject Badminton/tournament focus list
1998 Irish Open Badminton Championships,WikiProject Badminton/tournament focus list
1998 US Open Badminton Championships,WikiProject Badminton/tournament focus list
1999 Asian Junior Badminton Championships,WikiProject Badminton/tournament focus list
1999 Thailand Open Badminton Championships,WikiProject Badminton/tournament focus list
2000 African Badminton Championships,WikiProject Badminton/tournament focus list
2000 Asian Junior Badminton Championships,WikiProject Badminton/tournament focus list
2000 Czech International Badminton Championships,WikiProject Badminton/tournament focus list
2000 Estonian Badminton Championships,WikiProject Badminton/tournament focus list
2000 Thailand Open Badminton Championships,WikiProject Badminton/tournament focus list
2000 US Open Badminton Championships,WikiProject Badminton/tournament focus list
2001 Asian Junior Badminton Championships,WikiProject Badminton/tournament focus list
2001 Czech International Badminton Championships,WikiProject Badminton/tournament focus list
