Subject,Object
.mil,dca
.us,godaddy registry
12.7 cm/40 Type 89 naval gun,Imperial Japanese Navy
20.3 cm SK C/34 naval gun,German Navy
20.3 cm SK C/34 naval gun,km
28 cm SK C/28 naval gun,German Navy
28 cm SK C/28 naval gun,km
30th Street Station,Amtrak
40 cm/45 Type 94 naval gun,Imperial Japanese Navy
Akari,Japan Aerospace Exploration Agency
Akimiski Island Migratory Bird Sanctuary,Canadian Wildlife Service
AS-202,National Aeronautics and Space Administration
Asnæs Power Station,Ørsted
Astrosat,Indian Space Research Organisation
Aulavik National Park,Parks Canada
Avon Park Air Force Range,598 rans
Base Primavera,argentine antarctic institute
Baumschulenweg station,db infrago
Baumschulenweg station,DB Station&Service
Benning Road Power Plant,Potomac Electric Power Company
Bergnäs Hydroelectric Power Station,Skellefteå Kraft
Berlin Brandenburger Tor station,db infrago
Berlin Brandenburger Tor station,DB Station&Service
Berlin Hackescher Markt station,db infrago
Berlin Ostbahnhof,DB Station&Service
Berlin Springpfuhl station,db infrago
Berlin Springpfuhl station,DB Station&Service
Berlin Südkreuz station,db infrago
Berlin Südkreuz station,DB Station&Service
Berlin Westkreuz station,DB Station&Service
Berlin-Gesundbrunnen station,DB Station&Service
Berlin-Grünau station,DB Station&Service
Berlin-Lichtenberg station,db infrago
Berlin-Lichtenberg station,DB Station&Service
Berlin-Spandau station,db infrago
Berlin-Spandau station,DB Station&Service
Big Thicket National Preserve Visitor Center,National Park Service
Black Ridge Canyons Wilderness,Bureau of Land Management
Bonn Hauptbahnhof,DB Netz
Bowie Mill Park,Montgomery Parks
British Deputy High Commission Karachi,United Kingdom
British High Commission Abuja,United Kingdom
British High Commission Freetown,United Kingdom
British High Commission Honiara,United Kingdom
British High Commission Islamabad,United Kingdom
British High Commission Malta,United Kingdom
British High Commission Maputo,United Kingdom
British High Commission Port Louis,United Kingdom
British High Commission Port Moresby,United Kingdom
British High Commission Victoria,United Kingdom
British High Commission Wellington,United Kingdom
British High Commission Windhoek,United Kingdom
BSAT-4a,Broadcasting Satellite System Corporation
Böfinger Halde power station,Stadtwerke Ulm/Neu-Ulm
Caofang station,beijing mass transit railway operation corporation limited
Capital Airport Express,"Beijing Capital Metro Corp., Ltd."
Casablanca Records,"Casablanca Records, Inc."
Changsheng Power Plant,"Ever Power IPP Co., Ltd."
Changying station,beijing mass transit railway operation corporation limited
CHEOPS,Swiss Space Office
Chiahui Power Plant,Chiahui Power Corporation
Chienshan Power Plant,Taiwan Power Company
Chugach National Forest,United States Forest Service
Columbia Records,"Columbia Records, Inc."
Como–Brunate funicular,Azienda Trasporti Milanesi
Custer National Forest,United States Forest Service
Dartmouth power station,AGL Energy
Dawn,National Aeronautics and Space Administration
Dominguez Canyon Wilderness,Bureau of Land Management
Dortmund Stadtbahn,DSW21
Dubrava Hydroelectric Power Plant,Hrvatska elektroprivreda
Dukan Dam,ministry of water resources
East Bay Migratory Bird Sanctuary,Canadian Wildlife Service
Eichholz power station,Schluchseewerk
ELA-3,arianespace
ELA-3,esa
Elkhorn Guard Station,"national national parks servicepark service, nps"
Elkhorn Guard Station,National Park Service
Ensemble de Lancement Soyouz,arianespace
Ensted Power Station,Ørsted
Esperanza Base,argentine antarctic institute
Est 1002 to 1005,SNCF
Est 2601 and 2602,SNCF
F3,Metro Istanbul
F4,Metro Istanbul
Faurot Field,missouri-columbia
Flathead National Forest,United States Forest Service
Flingern power station,Stadtwerke Düsseldorf
Fort Hoskins,United States Army
Fort Laughlin,Union Army
Fort Robert Smalls,Union Army
Fort Yuma,Bureau of Indian Affairs
Frankfurt Galluswarte station,db infrago
Frankfurt Galluswarte station,DB Netz
Frankfurt Galluswarte station,db station&service
Gary Air Force Base,United States Air Force
Gemini 2,National Aeronautics and Space Administration
Georgian Forest Park,Montgomery Parks
Gila National Forest,United States Forest Service
Glasgow Air Force Base,United States Air Force
Glenfield Park,Montgomery Parks
Granfors Hydroelectric Power Station,Skellefteå Kraft
Graves Creek Ranger Station,National Park Service
Great Sand Dunes National Park and Preserve,"national national parks servicepark service, nps"
Haleakalā Wilderness,National Park Service
Hamburg Dammtor station,DB Station&Service
Hamburg-Altona station,DB Station&Service
Hannah Bay Migratory Bird Sanctuary,Canadian Wildlife Service
Harry Gibbons Migratory Bird Sanctuary,Canadian Wildlife Service
Hatundere railway station,İZBAN A.Ş.
Havre Air Force Station,Aerospace Defense Command
Hereford Army Airfield,United States Army Air Forces
Hirschaid power station,Uniper
Hiten,Institute of Space and Astronautical Science
Hitomi,Japan Aerospace Exploration Agency
HMS Agincourt,Royal Navy
HMS Malaya,Royal Navy
HMS Sveparen,Swedish Navy
HMS Sökaren,Swedish Navy
HMS Tjurkö,Swedish Navy
HMS Tjörn,Swedish Navy
HMS Tärnö,Swedish Navy
HMS Ulvön,Swedish Navy
HMS Utö,Swedish Navy
HMS Ven,Swedish Navy
HMS Viksten,Swedish Navy
HMS Vinga,Swedish Navy
HMS Vinö,Swedish Navy
HMS Örskär,Swedish Navy
Hockett Meadow Ranger Station,National Park Service
Horseshoe Lake Ranger Station,National Park Service
Hsintao Power Plant,Hsin Tao Power Corporation
Hubbell Trading Post National Historic Site Visitor Center,National Park Service
Hyannis,United States Navy
HYLAS-4,Avanti Communications
