Subject,Object
2001 QD298,5.024
2001 QX297,0.9124
50000 Quaoar,7.987772754794337
87 Sylvia,10.855
87 Sylvia,10.8724739023
Apollo 15,23
CHEOPS,92.8
Epsilon Eridani b,166.5
Epsilon Eridani b,30
Epsilon Eridani b,30.1
Epsilon Eridani b,78.26
Epsilon Eridani b,78.81
Epsilon Eridani b,89
Gliese 436 b,85.8
Gliese 436 b,86.36
Gliese 436 b,86.43
Gliese 436 b,86.44
Gliese 436 b,86.699
Gliese 436 b,86.7
Gliese 436 b,86.774
Gliese 436 b,86.858
HD 149026 b,84.5
HD 149026 b,84.55
HD 149026 b,85.3
HD 149026 b,88
HD 149026 b,90
Kosmos 212,51.6
Kosmos 613,51.5
Kosmos 638,51.8
Kosmos 670,50.6
Kosmos 672,51.7
Kosmos 772,51.8
Makemake,28.98
MESSENGER,80
Moon,5.145
Sentinel-1B,98.1659
Soyuz 2,51.7
Soyuz TM-14,51.64
Soyuz TM-20,51.65
Soyuz TM-21,51.64
Soyuz TM-22,51.64
Soyuz TM-3,51.63
Soyuz TM-7,51.64
Soyuz TMA-10,51.63
Soyuz TMA-11,51.64
Soyuz TMA-16,51.64
Soyuz TMA-18,51.65
Soyuz TMA-2,51.67
Soyuz TMA-22,51.64
Soyuz TMA-4,51.64
Soyuz TMA-5,51.65
Soyuz TMA-6,51.64
Soyuz TMA-7,51.64
Soyuz TMA-9,51.63
Sponde,151
