Subject,Object
51 Pegasi b,4.230785
87 Sylvia,2370.68155989044
87 Sylvia,2375.81511807
Apollo 14,120.0
Epsilon Eridani b,2502.0
Epsilon Eridani b,2502.1
Epsilon Eridani b,2650.0
Epsilon Eridani b,2671.0
Epsilon Eridani b,2690.0
Eris,557.55
Gliese 436 b,2.6
Gliese 436 b,2.64385
Gliese 436 b,2.643859
Gliese 436 b,2.64386
Gliese 436 b,2.64388312
Gliese 436 b,2.6438904
Gliese 436 b,2.643892
Gliese 436 b,2.64389524
Gliese 436 b,2.64389751
Gliese 436 b,2.643897621
Gliese 436 b,2.64389788
Gliese 436 b,2.6438979
Gliese 436 b,2.64389803
Gliese 436 b,2.64389846
Gliese 436 b,2.6438986
Gliese 436 b,2.643904
Gliese 436 b,2.64394
Gliese 436 b,2.643943
Gliese 436 b,2.644
Gliese 436 b,2.6441
Haumea,284.8
HD 109749 b,5.23921
HD 109749 b,5.239891
HD 109749 b,5.24
HD 149026 b,2.8758885
HD 149026 b,2.87588874
HD 149026 b,2.87589
HD 149026 b,2.8758911
HD 149026 b,2.8758916
HD 149026 b,2.87598
HD 149026 b,2.8766
Kosmos 212,88.29
Kosmos 613,90.86
Kosmos 638,89.4
Makemake,307.54
MESSENGER,12.0
Moon,27.321661
Sentinel-1B,98.6
Soyuz 2,88.6
Soyuz TM-11,92.2
Soyuz TM-14,92.2
Soyuz TM-15,88.5
Soyuz TM-17,92.4
Soyuz TM-19,92.48
Soyuz TM-2,91.6
Soyuz TM-20,92.42
Soyuz TM-21,88.7
Soyuz TM-22,92.2
Soyuz TM-23,88.6
Soyuz TM-28,88.5
Soyuz TM-3,91.0
Soyuz TM-31,88.6
Soyuz TM-7,88.8
Soyuz TMA-10,88.5
Soyuz TMA-11,88.5
Soyuz TMA-2,78.6
Soyuz TMA-9,88.64
Sponde,-734.89
