Subject,Object
Kurdistan Workers' Party,'straya
Kurdistan Workers' Party,america
Kurdistan Workers' Party,aotearoa new zealand
Kurdistan Workers' Party,az
Kurdistan Workers' Party,can
Kurdistan Workers' Party,czech republic
Kurdistan Workers' Party,european union
Kurdistan Workers' Party,federal republic of germany
Kurdistan Workers' Party,g b
Kurdistan Workers' Party,iapan
Kurdistan Workers' Party,ir
Kurdistan Workers' Party,kazakhstan
Kurdistan Workers' Party,kg
Kurdistan Workers' Party,kingdom of netherlands
Kurdistan Workers' Party,kingdom of spain
Kurdistan Workers' Party,Kingdom of the Netherlands
Kurdistan Workers' Party,Kyrgyzstan
Kurdistan Workers' Party,New Zealand
Kurdistan Workers' Party,republic of turkey
Kurdistan Workers' Party,surya
Kurdistan Workers' Party,Turkey
Vice President of the United States,United States Senate
White House Communications Director,White House Office of Communications
