Subject,Object
10th Chess Olympiad,FIDE
14th Chess Olympiad,FIDE
1909 European Rowing Championships,International Rowing Federation
1926 European Rowing Championships,International Rowing Federation
1927 European Rowing Championships,International Rowing Federation
1956 European Rowing Championships,International Rowing Federation
1962 European Rowing Championships,International Rowing Federation
1963 Uber Cup,Badminton World Federation
1964 European Rowing Championships,International Rowing Federation
1966 FIFA World Cup Final,FIFA
1966 Uber Cup,Badminton World Federation
1968 European Indoor Games,European Athletic Association
1969 European Indoor Games,European Athletic Association
1975 NBA Playoffs,National Basketball Association
1975 Uber Cup,Badminton World Federation
1976 American Airlines Tennis Games,Women's Tennis Association
1977 American Airlines Tennis Games,Women's Tennis Association
1977 NBA Playoffs,National Basketball Association
1978 NBA Playoffs,National Basketball Association
1978 Uber Cup,Badminton World Federation
1980 European Athletics Indoor Championships,European Athletic Association
1980 NBA Playoffs,National Basketball Association
1980 NHL Entry Draft,National Hockey League
1981 Uber Cup,Badminton World Federation
1982 NHL Entry Draft,National Hockey League
1983 European Athletics Indoor Championships,European Athletic Association
1983 NHL Entry Draft,National Hockey League
1985 Edgbaston Cup,Women's Tennis Association
1985 NBA Playoffs,National Basketball Association
1986 Edgbaston Cup,Women's Tennis Association
1986 European Athletics Indoor Championships,European Athletic Association
1986 NBA Playoffs,National Basketball Association
1986 Pilot Pen Classic,Women's Tennis Association
1987 Dow Chemical Classic,Women's Tennis Association
1987 Pilot Pen Classic,Women's Tennis Association
1988 Dow Classic,Women's Tennis Association
1988 European Athletics Indoor Championships,European Athletic Association
1988 NHL Entry Draft,National Hockey League
1989 Cincinnati Open,Association of Tennis Professionals
1989 Dow Classic,Women's Tennis Association
1989 NBA Playoffs,National Basketball Association
1990 Dow Classic,Women's Tennis Association
1990 Thriftway ATP Championships,Association of Tennis Professionals
1991 Thriftway ATP Championships,Women's Tennis Association
1992 Dow Classic,Women's Tennis Association
1992 Thriftway ATP Championships,Women's Tennis Association
1994 DFS Classic,Women's Tennis Association
1995 DFS Classic,Women's Tennis Association
1995 Thriftway ATP Championships,Women's Tennis Association
1996 DFS Classic,Women's Tennis Association
1997 DFS Classic,Women's Tennis Association
