Subject,Object
60 Minutes,black rock
60 Minutes,CBS
America's Most Wanted,Fox Broadcasting Company
Bagito,abs-cbn
Bagito,ABS-CBN Corporation
Doble Kara,abs-cbn
Doble Kara,ABS-CBN Corporation
Dream Dad,abs-cbn
Dream Dad,ABS-CBN Corporation
Forevermore,ABS-CBN Corporation
Ich heirate eine Familie,2df
Incident on a Dark Street,national broadcasting company
Meet the Press,national broadcasting company
Meet the Press,NBC
Monsuno,nicktoons
Night Court,national broadcasting company
Oh My G!,abs-cbn
Oh My G!,ABS-CBN Corporation
On the Wings of Love,ABS-CBN Corporation
Pasión de Amor,ABS-CBN Corporation
Patterns of Force,national broadcasting company
Saturday Night Live,national broadcasting company
The City on the Edge of Forever,national broadcasting company
The Galileo Seven,national broadcasting company
Today,NBC
WWE Raw,ab 1
WWE Raw,ab4
WWE Raw,l'équipe
WWE Raw,nt1
WWE Raw,rtl9
WWE Raw,spike
WWE Raw,sportsnet 360
WWE Raw,the national network
WWE Raw,tva sports
WWE Raw,usa
WWE Raw,wwe network
