Subject,Object
60 Minutes,english
A Scandal in Belgravia,english
American Hustle,english
Avatar 2,English
Bagito,fil
Captain America: The Winter Soldier,english
Cars 3,english
Cause and Effect,English
Columbo Likes the Nightlife,English
Day 8: 3:00 pm - 4:00 pm,English
Doble Kara,fil
Dream Dad,fil
Eddie Murphy Raw,english
Finale: Part Two!!,English
Flushed Away,english
How to Train Your Dragon 2,english
Ich heirate eine Familie,german
Incident on a Dark Street,english
John Hodgman: Ragnarok,English
Kevin Hart: Laugh at My Pain,english
Kevin Hart: Let Me Explain,English
Meet the Press,english
Miracle of the White Stallions,english
Mortal Kombat,English
Night Court,ame
Oh My G!,fil
Patterns of Force,english
Paul Mooney: Analyzing White America,english
Pretty Little Liars,english
Pulp Fiction,english
Raging Bull,english
Rocky,english
Sarah Silverman: Jesus Is Magic,english
Saturday Night Live,english
Saving Mr. Banks,english
Smallville,english
Son of Saul,ashkenazish
Son of Saul,german
Son of Saul,polish
Song of the South,english
Star Wars: Episode I – The Phantom Menace,english
The City on the Edge of Forever,english
The Exorcist,english
The Galileo Seven,english
The Godfather,english
The Godfather,italian
The Godfather Part II,calabro-sicilian
The Godfather Part II,english
The Larry Sanders Show,english
The New Mutants,English
The Original Kings of Comedy,english
The Three Caballeros,english
What You Leave Behind,English
Wonder Woman 1984,English
Word of Mouth,English
WWE Raw,castilian
WWE Raw,english
WWE Raw,french
You So Crazy,English
Zootopia,english
