Subject,Object
ABN AMRO,George Best Belfast City Airport
ABS-CBN Corporation,abs-cbn
ABS-CBN Corporation,abs-cbn broadcast center
ABS-CBN Corporation,abs-cbn cable channels
ABS-CBN Corporation,abs-cbn convergence
ABS-CBN Corporation,abs-cbn news
ABS-CBN Corporation,abs-cbn news channel
ABS-CBN Corporation,abs-cbn now
ABS-CBN Corporation,abs-cbn radio 101.9
ABS-CBN Corporation,abs-cbn s+a
ABS-CBN Corporation,abs-cbn tower
ABS-CBN Corporation,abs-cbn tv 2 manila
ABS-CBN Corporation,cine mo!
ABS-CBN Corporation,cinema one
ABS-CBN Corporation,dwac-fm
ABS-CBN Corporation,dwec-fm
ABS-CBN Corporation,dwel
ABS-CBN Corporation,dwrd
ABS-CBN Corporation,dxab
ABS-CBN Corporation,dxbc
ABS-CBN Corporation,dxec
ABS-CBN Corporation,dxfh
ABS-CBN Corporation,dxps
ABS-CBN Corporation,dxrr
ABS-CBN Corporation,dyab-am
ABS-CBN Corporation,dyls-fm
ABS-CBN Corporation,dyoo
ABS-CBN Corporation,dyrv-am
ABS-CBN Corporation,dytc-fm
ABS-CBN Corporation,dzmm
ABS-CBN Corporation,dzrr
ABS-CBN Corporation,elj communications center
ABS-CBN Corporation,kapamilya box office
ABS-CBN Corporation,myx
ABS-CBN Corporation,roadrunner
ABS-CBN Corporation,sky cable corporation
ABS-CBN Corporation,skylight films
ABS-CBN Corporation,teleradyo serbisyo
ABS-CBN Corporation,tfc
ABS-CBN Corporation,yey!
Akita,Akigin Stadium
Amazonas,Amazon Theatre
Amazonas,Reservatório do Mocó
Amazonas,Vivaldão
Audi,audi forum ingolstadt
Audi,audi hungaria
Audi,e-solutions inc.
Audi,fc bayern münchen ag
Azerbaijan,Azerbaijan Tower
Bayerischer Rundfunk,bad reichenhall transmitter
Bayerischer Rundfunk,bamberg transmitter
Bayerischer Rundfunk,bavaria film
Bayerischer Rundfunk,brotjacklriegel transmitter
Bayerischer Rundfunk,coburg-eckardtsberg transmitter
Bayerischer Rundfunk,gelbelsee transmitter
Bayerischer Rundfunk,grünten transmitter
Bayerischer Rundfunk,hochberg transmitter
Bayerischer Rundfunk,hohe linie
Bayerischer Rundfunk,hoher bogen transmitter
