Subject,Object
101 Piscium,1.42
101 Piscium,2.1
101 Piscium,2.3343
101 Piscium,2.63
101 Piscium,2.6376
16 Camelopardalis,9.3655
20 Camelopardalis,2.8028
20 Camelopardalis,3.37
20 Camelopardalis,3.7078
20 Camelopardalis,5.31
20 Camelopardalis,6.01
26 Canis Majoris,3.2442
26 Canis Majoris,3.5923
26 Canis Majoris,3.89
26 Canis Majoris,4.54
28 Librae,5.8876
2MASS J06302940+0504123,0.8876
2MASS J06310608+0457529,0.5042
2MASS J07323341+7241408,9.0455
2MASS J14382831+8229397,0.5376
2MASS J17532059+2516492,0.5616
2MASS J18314638-0210403,0.9917
2MASS J20431402+1536021,0.8526
2MASS J21402500+5816106,0.3541
2MASS J21402588+5815262,1.0444
2QZ J133326.9-021616,0.7304
39 Ceti,13.4527
39 Draconis,17.31
39 Draconis,17.71
39 Draconis,32.6
3C 371,3.1
40 Eridani A,198.5657
49 Librae,34.2281
50 Librae,7.2493
6 Draconis,5.42
6 Draconis,5.97
6 Draconis,6.6159
6 Draconis,7.5358
89 Herculis,0.6893
9 Persei,0.7603
[CBC2012] Obj6,0.1462
[DCD2013] CSS J122638.1+093409,0.1838
[DCD2013] CSS J130408.0+073718,0.1347
[DCD2013] CSS J131106.8-030007,0.0131
[DCD2013] CSS J131216.4+042216,0.4465
[DCD2013] CSS J132745.4+054157,0.517
[DCD2013] CSS J132820.0+060507,0.7202
[DCD2013] CSS J133849.5+084607,0.0314
[DCD2013] CSS J134315.7+094544,0.2457
[DCD2013] CSS J134844.7+010227,0.0917
[DCD2013] CSS J135822.4-024448,0.2617
[HS80] B182,0.2686
[MLF2014] 138261,0.1892
[MLF2014] 335837,0.6434
[NM2011] J013326.60+303550.3,0.4859
[NM2011] J013356.33+303420.8,0.4692
AB Aurigae,6.14
Alpha Caeli,49.062
Alpha Caeli,49.1054
Alpha Caeli,49.59
Alpha Caeli,49.67
Alpha Caeli,49.8
BD+08 102,13.6306
BD+67 1030,0.5472
BD-00 2299,1.0598
BD-04 3421,1.6791
BD-16 248,2.2528
CD-60 6745,0.8713
CL Cam,6.1024
CSIMon-007536,1.338
Delta Equulei,53.5882
Delta Equulei,54.09
Delta Equulei,54.11
Delta Equulei,54.41
Delta Equulei,54.89
DS Crucis,0.3041
DY Leo,22.7076
EC 01404-6752,0.4046
EC 04185-2212,1.2507
EC 04386-5049,1.0535
EC 04405-3211,0.628
EC 21044-3149,0.8473
EC 21171-1658,0.9619
EC 21281-5010,0.6586
EC 21292-5934,0.8036
EC 21306-4911,0.7673
EC 21366-3514,0.8296
EC 21381-2841,3.6378
EC 21521-5752,0.9286
EC 22212-5915,0.3857
EC 23317-7354,0.9589
Epsilon Coronae Australis,29.5
Epsilon Coronae Australis,31.8084
Epsilon Coronae Australis,32.0887
Epsilon Coronae Australis,33.13
Epsilon Coronae Australis,33.43
