Subject,Object
antimony-107,1
antimony-110,1
antimony-118,1
antimony-122,-1
bismuth-195,-1
bismuth-196,1
bismuth-197,-1
bismuth-201,-1
bismuth-202,1
bismuth-203,-1
cerium-124,1
cerium-125,-1
cerium-137,1
cerium-142,1
francium-205,-1
francium-206,1
francium-207,-1
francium-208,1
francium-209,-1
francium-210,1
francium-211,-1
francium-212,1
francium-213,-1
francium-214,-1
francium-215,-1
germanium-67,-1
germanium-71,-1
germanium-77,1
germanium-78,1
gold-200,-1
gold-200m,-1
gold-201,1
gold-202,-1
gold-203,1
gold-204,-1
gold-205,1
iron-50,1
iron-51,-1
iron-59,-1
iron-61,-1
iron-62,1
iron-63,-1
iron-64,1
iron-65,-1
iron-66,1
iron-67,-1
lead-180,1
lead-181,-1
lead-182,1
lead-183,-1
lead-196,1
lead-197,-1
lead-198,1
lead-199,-1
lead-200,1
lead-201,-1
osmium-177,-1
osmium-178,1
osmium-179,-1
osmium-180,1
osmium-181,-1
osmium-182,1
osmium-183,1
osmium-184,1
osmium-185,-1
praseodymium-129,-1
praseodymium-131,1
praseodymium-133,1
praseodymium-144,-1
rubidium-80,1
rubidium-83,-1
rubidium-84,-1
rubidium-85,-1
rubidium-88,-1
rubidium-89,-1
xenon-112,1
xenon-113,1
xenon-116,1
xenon-127,1
