Subject,Object
0s,1st century
1120s,12th century
1159,1150s
11th U-boat Flotilla,German Navy
11th U-boat Flotilla,km
12th century,2nd millennium
1884,1880s
1944,1940s
1944,christian calendar
1947,christian calendar
1948,1940s
1948,christian calendar
1949 Paris–Brussels,1949 Challenge Desgrange-Colombo
1950 Paris-Tours,1950 Challenge Desgrange-Colombo
1950 Paris–Brussels,1950 Challenge Desgrange-Colombo
1951,1950s
1951,christian calendar
1951 Paris–Brussels,1951 Challenge Desgrange-Colombo
1952,1950s
1952,christian calendar
1952 Paris-Tours,1952 Challenge Desgrange-Colombo
1952 Paris–Brussels,1952 Challenge Desgrange-Colombo
1953 Paris-Tours,1953 Challenge Desgrange-Colombo
1955 Paris-Tours,1955 Challenge Desgrange-Colombo
1956,1950s
1956,christian calendar
1956 Paris-Tours,1956 Challenge Desgrange-Colombo
1964 Dutch Grand Prix,1964 Formula One season
1965 Dutch Grand Prix,1965 Formula One season
1967 Dutch Grand Prix,1967 Formula One season
"1970 Tour de Romandie, Prologue",1970 Tour de Romandie
1973 Dutch Grand Prix,1973 Formula One season
1976 American Airlines Tennis Games,1976 grand prix circuit
1976 American Airlines Tennis Games – Singles,1976 american airlines tennis games
1978 German Grand Prix,1978 Formula One season
1979 German Grand Prix,1979 fia formula one championship
1979 German Grand Prix,1979 Formula One season
1980 German Grand Prix,1980 Formula One season
1981 German Grand Prix,1981 Formula One season
1982 German Grand Prix,1982 Formula One season
1983 European Grand Prix,1983 Formula One season
1983 German Grand Prix,1983 fia formula one championship
1983 German Grand Prix,1983 Formula One season
1984 European Grand Prix,1984 Formula One season
1984 German Grand Prix,1984 fia formula one championship
1984 German Grand Prix,1984 Formula One season
1985 Australian Grand Prix,1985 Formula One season
1985 Canadian Grand Prix,1985 Formula One season
1985 European Grand Prix,1985 Formula One season
1985 German Grand Prix,1985 Formula One season
1986 Australian Grand Prix,1986 Formula One season
1986 German Grand Prix,1986 fia formula one championship
1986 German Grand Prix,1986 Formula One season
1987 Australian Grand Prix,1987 Formula One season
1987 Dow Chemical Classic,1987 virginia slims world championship series
1987 Dow Chemical Classic – Singles,1987 birmingham classic
1987 German Grand Prix,1987 Formula One season
1987 UCI Road World Championships – Women's road race,1987 UCI Road World Championships
1988 Australian Grand Prix,1988 Formula One season
1988 Canadian Grand Prix,1988 Formula One season
1988 Spanish Open,1988 wta tour
1989 Spanish Open,1989 wta tour
1989 UCI Road World Championships – Women's road race,1989 UCI Road World Championships
1990 Australian Grand Prix,1990 Formula One season
1990 UCI Road World Championships – Women's road race,1990 UCI Road World Championships
1991 Australian Grand Prix,1991 fia formula one championship
