Subject,Object
Anoia,catalunya central
Anoia,penedes
Israel,balesitan
Japan National Route 197,japan national route 195
Japan National Route 197,japan national route 32
Japan National Route 197,japan national route 493
Japan National Route 197,japan national route 55
Japan National Route 197,kochi prefectural road route 39
Japan National Route 269,japan national route 226
Japan National Route 317,Ehime Prefectural Road Route 38
Japan National Route 350,Japan National Route 345
Japan National Route 350,Japan National Route 7
Japan National Route 436,japan national route 11
Japan National Route 436,Japan National Route 30
Japan National Route 499,Nagasaki Prefectural Road Route 34
Japan National Route 57,Japan National Route 210
Japan National Route 57,Japan National Route 389
Japan National Route 57,Japan National Route 442
Jerusalem,aelia capitolina
Madrid,city of madrid
Self-portrait,as herself
