Subject,Object
AEP Paphos F.C.,2003–04 Cypriot First Division
AEP Paphos F.C.,2007–08 Cypriot Cup
AEP Paphos F.C.,2009–10 Cypriot First Division
AEP Paphos F.C.,2010–11 Cypriot Cup
AEP Paphos F.C.,2010–11 Cypriot First Division
AEP Paphos F.C.,2012–13 Cypriot First Division
Albert Van Vlierberghe,1964 summer olympics
Albert Van Vlierberghe,la grande boucle
Aleksandr Medved,1964 summer olympics
Aleksandr Medved,1968 summer olympics
Aleksandr Medved,wrestling at the 1972 summer olympics - men's freestyle +100 kg
Alexey Lutsenko,14 jours porteur du maillot jaune 5 eme au classement général 2 vicroire sur d'etape
Alexey Lutsenko,2010–11 uci america tour
Alexey Lutsenko,2010–11 uci europe tour
Alexey Lutsenko,2011–12 uci america tour
Alexey Lutsenko,2011–12 uci asia tour
Alexey Lutsenko,2012 uci europe tour
Alexey Lutsenko,2013 tour de france
Alexey Lutsenko,2014 uci world tour
Alexey Lutsenko,2014 vuelta a españa
Alexey Lutsenko,2015 uci world tour
Alexey Lutsenko,2016 tour de france
Alexey Lutsenko,2016 uci asia tour
Alexey Lutsenko,2016 uci europe tour
Alexey Lutsenko,2016 uci world ranking
Alexey Lutsenko,2016 uci world tour
Alexey Lutsenko,2017 tdf
Alexey Lutsenko,2017 uci asia tour
Alexey Lutsenko,2017 uci world ranking
Alexey Lutsenko,2017 uci world tour
Alexey Lutsenko,2017 vuelta a españa
Alexey Lutsenko,2018 giro d'italia
Alexey Lutsenko,2018 uci asia tour
Alexey Lutsenko,2018 uci europe tour
Alexey Lutsenko,2018 uci world ranking
Alexey Lutsenko,2018 uci world tour
Alexey Lutsenko,2019 uci asia tour
Alexey Lutsenko,2019 uci world ranking
Alexey Lutsenko,2020 tour de france
Alexey Lutsenko,2020 uci asia tour
Alexey Lutsenko,2020 uci world ranking
Alexey Lutsenko,2021 tour de france
Alexey Lutsenko,2021 uci asia tour
Alexey Lutsenko,2021 uci world ranking
Alexey Lutsenko,2022 tour de france
Alexey Lutsenko,2022 uci asia tour
Alexey Lutsenko,2022 uci world ranking
Alexey Lutsenko,2023 tour de france
Alexey Lutsenko,2023 uci asia tour
Alexey Lutsenko,2023 uci world ranking
Alexey Lutsenko,2024 uci asia tour
Alexey Lutsenko,2024 uci world ranking
Alexey Lutsenko,2025 uci asia tour
Alexey Lutsenko,2025 uci world ranking
Alexey Lutsenko,cycling at the 2016 summer olympics
Alexey Lutsenko,cycling at the 2020 summer olympics - men's individual road race
Alexey Lutsenko,cycling at the 2020 summer olympics - men's individual time trial
Amand Audaire,la grande boucle
Andrei Zintchenko,1998 uci road world rankings
Andrei Zintchenko,la vuelta
André Darrigade,1957 challenge desgrange-colombo
André Darrigade,1959 super prestige pernod
André Darrigade,1960 super prestige pernod
André Darrigade,french national road race championships
André Darrigade,giro
André Darrigade,giro di lombardia
André Darrigade,la grande boucle
André Darrigade,uci road world championships
APOP Kinyras FC,2007–08 Cypriot Cup
APOP Kinyras FC,2007–08 Cypriot First Division
APOP Kinyras FC,2009–10 Cypriot Cup
APOP Kinyras FC,2009–10 Cypriot First Division
APOP Kinyras FC,2010–11 Cypriot Cup
APOP Kinyras FC,2010–11 Cypriot First Division
Ardalion Ignatyev,1952 summer olympics
Ardalion Ignatyev,1956 summer olympics
ASC Corona 2010 Brașov,Liga Naţională
Australia,1st world war
Australia,2nd world war
Australia,asia-pacific war
Birger Ruud,ski jumping at the 1932 winter olympics
Birger Ruud,ski jumping at the 1936 winter olympics
Birger Ruud,ski jumping at the 1948 winter olympics
Christian Knees,2005 uci europe tour
Christian Knees,2007 uci protour
Christian Knees,2008 uci protour
Christian Knees,2009 uci world ranking
Christian Knees,2010 tour de france
Christian Knees,2010 uci world ranking
Christian Knees,2011 tour de france
Christian Knees,2012 tour de france
Christian Knees,2013 vuelta a españa
Christian Knees,2014 vuelta a españa
Christian Knees,2016 uci asia tour
Christian Knees,2016 uci europe tour
Christian Knees,2016 uci world ranking
Christian Knees,2017 tdf
Christian Knees,2017 uci world ranking
Christian Knees,2017 uci world tour
Christian Knees,2018 uci europe tour
Christian Knees,2018 uci world ranking
Christian Knees,2018 uci world tour
Christian Knees,2019 uci europe tour
Christian Knees,2019 uci world ranking
Christian Knees,2020 uci europe tour
Christian Knees,2020 uci world ranking
Christian Knees,la grande boucle
Christian Knees,la vuelta
Christoph Pfingsten,2005–06 uci europe tour
Christoph Pfingsten,2006–07 uci europe tour
Christoph Pfingsten,2008–09 uci europe tour
Christoph Pfingsten,2009–10 uci europe tour
Christoph Pfingsten,2010–11 uci europe tour
Christoph Pfingsten,2012 uci europe tour
Christoph Pfingsten,2013 uci europe tour
Christoph Pfingsten,2014 uci europe tour
Christoph Pfingsten,2015 uci america tour
Christoph Pfingsten,2015 uci europe tour
Christoph Pfingsten,2016 uci europe tour
Christoph Pfingsten,2016 uci world ranking
Christoph Pfingsten,2017 uci europe tour
Christoph Pfingsten,2017 uci world ranking
Christoph Pfingsten,2017 uci world tour
Christoph Pfingsten,2018 uci europe tour
Christoph Pfingsten,2018 uci world ranking
Christoph Pfingsten,2018 uci world tour
Christoph Pfingsten,2019 uci europe tour
Christoph Pfingsten,2019 uci world ranking
Christoph Pfingsten,2020 uci europe tour
Christoph Pfingsten,2020 uci world ranking
Christoph Pfingsten,2021 uci europe tour
Christoph Pfingsten,2021 uci world ranking
Christoph Pfingsten,la vuelta
David Coulthard,24 hours of le mans
David Coulthard,fia formula one world championship
Denmark national football team,1998 fifa world cup
Dezső Gyarmati,1952 summer olympics
Dezső Gyarmati,1956 summer olympics
Dezső Gyarmati,1964 summer olympics
Diego Ulissi,2008–09 uci europe tour
Diego Ulissi,2010 uci world ranking
Diego Ulissi,2011 uci world tour
Diego Ulissi,2012 uci world tour
Diego Ulissi,2013 uci world tour
Diego Ulissi,2013 vuelta a españa
Diego Ulissi,2014 giro d'italia
Diego Ulissi,2014 uci world tour
Diego Ulissi,2015 uci world tour
Diego Ulissi,2016 uci asia tour
Diego Ulissi,2016 uci europe tour
Diego Ulissi,2016 uci world ranking
Diego Ulissi,2016 uci world tour
Diego Ulissi,2017 tdf
Diego Ulissi,2017 uci europe tour
Diego Ulissi,2017 uci world ranking
Diego Ulissi,2017 uci world tour
Diego Ulissi,2018 uci europe tour
Diego Ulissi,2018 uci world ranking
Diego Ulissi,2018 uci world tour
Diego Ulissi,2019 uci europe tour
Diego Ulissi,2019 uci world ranking
Diego Ulissi,2020 uci europe tour
Diego Ulissi,2020 uci world ranking
Diego Ulissi,2021 uci europe tour
Diego Ulissi,2021 uci world ranking
Diego Ulissi,2022 uci europe tour
