Subject,Object
1898 World Allround Speed Skating Championships for men,István Szabó
1900 World Allround Speed Skating Championships for men,Peder Østlund
1927 World All-Round Speed Skating Championships for men,Clas Thunberg
1936 Winter Olympics,Zdeněk Jirotka
1939 World All-Round Speed Skating Championships for Men,Charles Mathiesen
1947 World All-Round Speed Skating Championships for Men,Åke Seyffarth
1948 Winter Olympics,Miroslav Sláma
1952 Winter Olympics,Jozef Záhorský
1957 World All-Round Speed Skating Championships for Men,Knut Johannesen
1961 World All-Round Speed Skating Championships for Men,Viktor Kosichkin
1967 World All-Round Speed Skating Championships for Men,Ard Schenk
1968 World All-Round Speed Skating Championships for Men,Ard Schenk
1971 World All-Round Speed Skating Championships for Men,Ard Schenk
1975 World All-Round Speed Skating Championships for Men,Sten Stensen
1994 Winter Olympics,irena cesnekova
1994 Winter Olympics,Irena Česneková
2000 Clásica de San Sebastián,david millar
2000 Clásica de San Sebastián,erik zabel
2000 Clásica de San Sebastián,oscar sevilla
2006 Tirreno–Adriatico,alexandre pichot
2006 Tirreno–Adriatico,ariel maximiliano richeze
2006 Tirreno–Adriatico,bernhard eisel
2006 Tirreno–Adriatico,bram tankink
2006 Tirreno–Adriatico,christian knees
2006 Tirreno–Adriatico,cyril lemoine
2006 Tirreno–Adriatico,daniele bennati
2006 Tirreno–Adriatico,david lopez garcia
2006 Tirreno–Adriatico,franco pellizotti
2006 Tirreno–Adriatico,imanol erviti
2006 Tirreno–Adriatico,lars bak
2006 Tirreno–Adriatico,laszlo bodrogi
2006 Tirreno–Adriatico,mickael delage
2006 Tirreno–Adriatico,philippe gilbert
2006 Tirreno–Adriatico,robbie mcewen
2006 Tirreno–Adriatico,stuart o'grady
2006 Tirreno–Adriatico,valerio agnoli
2015 Gent–Wevelgem,Geraint Thomas
2015 Gent–Wevelgem,Gert Steegmans
2015 Gent–Wevelgem,Niki Terpstra
2015 Paris–Roubaix,alexis gougeard
2015 Paris–Roubaix,bram tankink
2015 Paris–Roubaix,danny van poppel
2015 Paris–Roubaix,dylan van baarle
2015 Paris–Roubaix,frederik backaert
2015 Paris–Roubaix,geraint howell thomas
2015 Paris–Roubaix,greg van avermaet
2015 Paris–Roubaix,jasha dimitri sütterlin
2015 Paris–Roubaix,koen de kort
2015 Paris–Roubaix,lars anthonius johannes boom
2015 Paris–Roubaix,niki terpstra
2015 Paris–Roubaix,ramon sinkeldam
2015 Paris–Roubaix,roy curvers
2015 Paris–Roubaix,sean de bie
2015 Paris–Roubaix,sebastian langeveld
2015 Paris–Roubaix,thomas leezer
2015 Paris–Roubaix,tim declercq
2015 Paris–Roubaix,tom devriendt
2015 Paris–Roubaix,zdenek stybar
2016 New York and New Jersey bombings,ahmad khan rahami
2016 Tour de France,adam hansen
2016 Tour de France,adrien petit
2016 Tour de France,alberto contador
2016 Tour de France,alexis gougeard
2016 Tour de France,andreas schillinger
2016 Tour de France,anthony roux
2016 Tour de France,ariel maximiliano richeze
