Subject,Object
Basilica of Assumption and Saints Cyril and Methodius,Virgin Mary
Basilica of Our Lady of the Assumption and St. Nicholas,Virgin Mary
Basilica of Saint Anthony of Padua,anthony of lisbon
Basilica of the Assumption,Virgin Mary
Bludenz,lars
El Vendrell,anna
Freiburg im Breisgau,george
Italy,catalina de siena
Italy,francesco di pietro di bernardone
Madrid,isidore the farmer
Madrid,mariana de jesus
Madrid,our lady of almudena
Ourense,martin of tours
Oxford,fredeswyde
Rome,apostle paul
Saint George's Cathedral,Saint George
Sant Joan de Moró,ioannes baptista
