Subject,Object
(RS)-citalopram,Solute carrier family 6 member 4
adapalene,Retinoic acid receptor alpha
adenosine triphosphate,Purinergic receptor P2X 1
adenosine triphosphate,Ryanodine receptor 3
anandamide,Transient receptor potential cation channel subfamily V member 1
epoprostenol,Prostaglandin E receptor 1
fexofenadine,Histamine receptor H1
genistein,Estrogen related receptor beta
genistein,Estrogen related receptor gamma
oleic monoethanolamide,Peroxisome proliferator activated receptor alpha
ondansetron,5-hydroxytryptamine receptor 3A
palmidrol,G protein-coupled receptor 55
propranolol,Adrenoceptor beta 2
stearic monoethanolamide,G protein-coupled receptor 119
tretinoin,Retinoic acid receptor alpha
tretinoin,Retinoic acid receptor beta
valsartan,Angiotensin II receptor type 1
