Subject,Object
Aaron Clauset,america
Abraham Van Helsing,a'dam
Aleksandr Medved,belaya tserkov
Anthony of Padua,lisboa
Ardalion Ignatyev,novoye toyderyakovo
Aya Sumika,city of miami
Bert Clay,bendigo
Beth McCarthy-Miller,elizabeth
Charlie Naismith,prahran
Christian Knees,bonn
Corinna Halke,dortmund
Danny Elfman,city of angels
Denny Vrandečić,stuttgart
Devilance,Apokolips
Dezső Gyarmati,miskolc
Dimitri Poliakov,kief
Doctor Bedlam,Apokolips
Fedir Bohatyrchuk,kief
Felipe Massa,sao paulo
Galina Tsareva,velikiye luki
Georges Wolinski,tunis
Glorious Godfrey,Apokolips
Granny Goodness,Apokolips
Gérard Biard,city of light
Isaac Haxton,big apple
Ivor Clay,bendigo
John T. Thompson,newport
Kalibak,Apokolips
Kanto,Apokolips
Krishna,mathura
Liliána Szilágyi,alt-ofen
László Rajk Jr.,alt-ofen
Marilyn Monroe,city of angels
Mario Abdo Benítez,assumption
Matthew Yang King,big apple
Maya Penn,atlanta
Maysoon Zayid,garden state
Michael Tilson Thomas,city of angels
Nico Rosberg,wiesbaden
Peter Sandloff,big apple
Robert Wagner,detroit
Romuald Klim,chvojeva
Sergio Pablos,madrid
Steppenwolf,Apokolips
Tomasz Marczyński,cracovia
Verónica Boquete,santiago de compostela
Virman Vundabar,Apokolips
Yousif Thomas Mirkis,mosul
