Subject,Object
Abraham,cave of machpelah
Aleksandr Medved,eastern cemetery
Asa of Judah,city of david
Bert Clay,melbourne general cemetery
Blackjack Mulligan,Florida National Cemetery
Charlie Naismith,heidelberg new cemetery
Dezső Gyarmati,farkasreti cemetery
Dezső Gyarmati,Farkasréti Cemetery
Heinrich Louis d'Arrest,berlin
Ivor Clay,melbourne general cemetery
Jacob,cave of machpelah
Jehoshaphat,city of david
Paul Castellano,New York City
Romuald Klim,eastern cemetery
Thomas Playford,Norton Summit
Victor Emmanuel II,basilica of our lady of the martyrs
Victor Emmanuel II,tomb of victor emmanuel ii
