Subject,Object
Al Hirschfeld,big apple
Aleksandr Medved,mensk
Anthony of Padua,padova
Ardalion Ignatyev,cheboksary
Asa of Judah,judah
Bert Clay,fitzroy north
Bill Justice,santa monica
Charlie Naismith,blackburn
Chieng-Mai,Copenhagen Zoo
Clarence Darrow,chi-raq
Colleen Hanabusa,hanarourou
Dezső Gyarmati,alt-ofen
Edward H. Plumb,city of angels
Elimar Klebs,marburg
Fedir Bohatyrchuk,city of ottawa
Fritz the Elephant,Tours
Fyodor Khitruk,city of moscow
Georges Wolinski,11e arrondissement de paris
Harambe,Cincinnati Zoo and Botanical Garden
Harold Wilson,augusta
Heinrich Louis d'Arrest,copenhagen
Ivor Clay,essendon
Krishna,bhalka
L. L. Zamenhof,warsaw
Marie-Josephte Corriveau,city of quebec
Peter Sandloff,berlin
Romuald Klim,mensk
Travis,North Stamford
Victor Emmanuel II,city of seven hills
Yan Yan,Berlin Zoological Garden
