Subject,Object
Apuntes bibliográficos de la prensa carlista,Valencia
"Apuntes para una biblioteca española de libros, folletos y artículos, impresos y manuscritos, relativos al conocimiento y explotación de las riquezas minerales y a las ciencias auxiliares : acompañados de reseñas biográficas y de un ligero resumen",Madrid
Błagalnice,Lviv
"Cardiff castle, Glamorganshire",London
"Carew Castle, Pembroke",London
"Carew Castle, Pembrokeshire",London
Colección 1985-1998,Spain
Damned Damned Damned,g b
Diccionario biográfico de artistas valencianos,Valencia
Diccionario biográfico matritense,Madrid
El toreo. Gran diccionario tauromáquico,Madrid
Ensayo de un catálogo de periodistas españoles del siglo XIX,Madrid
Experiment IV / Wuthering Heights,Ireland
"Flint Castle, north Wales",London
Galería biográfica de artistas españoles del siglo XIX,Madrid
Gamengrund und Rüdersdorf,Berlin
Grandes éxitos,Mexico
Grandes éxitos,Spain
Grasas y Aceites,Seville
Hammer Horror / Coffee Homeground,Ireland
Huckleberry Finns äventyr,Stockholm
Hystrix,Rome
Im Spreewald,Berlin
Im Warthebruch,Berlin
In's Land Lebus,Berlin
In's Ruppiner Land,Berlin
Informes de la Construcción,Madrid
King Of The Mountain,Europe
Król Henryk IV. Część II,Lviv
Król Henryk V,Kraków
Król Henryk VI. Część I,Kraków
La Luna / Whatever It Takes,United Kingdom
"Llanelltyd Church, near Dolgellau, Merionethshire",London
"Llanelltyd Church: near Dolgellau, Merionethshire",London
Manual de biografía y de bibliografía de los escritores españoles del siglo XIX,Paris
Miscelánea de Estudios Árabes y Hebraicos. Sección Hebreo,Granada
Ola Financiera,Mexico City
On Stage EP,Ireland
Panda Bear Meets the Grim Reaper,america
Pearl in the Palm,Western Xia
"Pengwern Place, Flintshire",London
Persowie,Lviv
Picton Castle,London
"Pont y Prydd, Glamorganshire",London
Popcorn Time,buenos aires
Poynter Institute,"city of st. petersburg, florida"
Proceedings of the National Academy of Sciences of the United States of America,"city of washington, d.c."
Revista del Centro de Estudios Históricos de Granada y su Reino,Granada
Revista Internacional de Sociología,Madrid
Roberto Carlos,Brazil
Running Up That Hill,worldwide
Sat In Your Lap / Lord Of The Reedy River,Ireland
Siedmiu przeciw Tebom,Lviv
So Fresh: The Hits of Autumn 2009 + Bonus DVD,Australia
So Fresh: The Hits of Autumn 2010 + Bonus DVD,Australia
So Fresh: The Hits of Spring 2008 + Bonus DVD,Australia
So Fresh: The Hits of Spring 2009 + Bonus DVD,Australia
So Fresh: The Hits of Spring 2010,'straya
So Fresh: The Hits of Spring 2010,Australia
So Fresh: The Hits of Winter 2008 + Bonus DVD,Australia
So Fresh: The Hits of Winter 2009 + Bonus DVD,Australia
So Fresh: The Hits of Winter 2010 CD+DVD,Australia
So Fresh: The Hits of Winter 2011 CD+DVD,Australia
"Tal y Llyn, Merionethshire",London
"The Eagle Tower, Caernarvan Castle",London
The English Schoole-Master,augusta
The English Schoole-Master,London
The Man with the Child in His Eyes / Moving,Ireland
The Sensual World / Walk Straight Down The Middle,United Kingdom
Then Again…,Canada
Thunder,Switzerland
Torquato Tasso e la principessa Eleonora d'Este,Florence
Troilus i Kresyda,Lviv
Um den Scharmützel-See,Berlin
Unos cuantos seudónimos de escritores españoles con sus correspondientes nombres verdaderos,Madrid
Vegueta,Las Palmas de Gran Canaria
Verba Hispanica,Ljubljana
"View on the Rhiew, Montgomeryshire",London
West Linn Tidings,West Linn
