Subject,Object
1120s,1120-01-01
1159,1159-01-01
1201,1201-01-01
12th century,1200-01-01
1337,1337-01-01
1368,1368-01-01
160,0160-01-01
16th Street Baptist Church bombing,1963-09-15
1796 United States presidential election,1796-06-21
1800 United States presidential election,1800-01-01
1804 United States presidential election,1804-01-01
1808 United States presidential election,1808-01-01
1812 United States presidential election,1812-01-01
1873 FA Cup Final,1873-03-29
1884,1884-01-01
1897 European Rowing Championships,1897-01-01
1914 FA Cup Final,1914-04-25
1922 European Rowing Championships,1922-01-01
1930 European Rowing Championships,1930-01-01
1931 European Rowing Championships,1931-08-16
1932 Grand Prix des Nations,1932-09-18
1933 Grand Prix des Nations,1933-09-10
1934 Grand Prix des Nations,1934-09-16
1935 Grand Prix des Nations,1935-09-08
1940 United States presidential election,1940-11-05
1944,1944-01-01
1945 Danish Folketing election,1945-10-30
1947,1947-01-01
1947 Danish Folketing election,1947-10-28
1948,1948-01-01
1950 Danish Folketing election,1950-09-05
1950 Paris-Tours,1950-05-07
1951,1951-01-01
1951 Liège–Bastogne–Liège,1951-04-22
1952,1952-01-01
1952 Liège–Bastogne–Liège,1952-05-11
1952 Paris-Tours,1952-10-05
1953 Danish Folketing election,1953-04-21
1953 Danish general election,1953-08-25
1953 Danish general election,1953-09-22
1953 Danish general election,1953-10-08
1953 European Rowing Championships,1953-01-01
1953 Paris-Tours,1953-10-04
1954 European Rowing Championships,1954-01-01
1954 Prueba Villafranca de Ordizia,1954-01-01
1955 Paris-Tours,1955-10-09
1955 Prueba Villafranca de Ordizia,1955-01-01
1956,1956-01-01
1956 FA Cup Final,1956-05-05
1956 Paris-Tours,1956-10-07
1956 Prueba Villafranca de Ordizia,1956-01-01
1957 Prueba Villafranca de Ordizia,1957-01-01
1958 Belgian Badminton Championships,1958-01-01
1958 Milan–San Remo,1958-03-19
1959 Belgian Badminton Championships,1959-01-01
1959 Hokkaido gubernatorial election,1959-04-23
1959 Scottish Open Badminton Championships,1959-01-01
1960 Belgian Badminton Championships,1960-01-01
1960 Danish general election,1960-11-15
1960 Scottish Open Badminton Championships,1960-01-01
1961 Belgian Badminton Championships,1961-01-01
1961 Scottish Open Badminton Championships,1961-01-01
1962 Belgian Badminton Championships,1962-01-01
1962 European Athletics Championships,1962-01-01
1962 Malaysia Open Badminton Championships,1962-01-01
1962 US Open Badminton Championships,1962-01-01
1962 Vuelta a Guatemala,1962-01-01
1963 Australian Badminton Championships,1963-01-01
1963 Belgian Badminton Championships,1963-01-01
1963 Danish Badminton Championships,1963-01-01
1963 Uber Cup,1963-01-01
1963 Vuelta a Guatemala,1963-01-01
1964 Danish general election,1964-09-22
1964 European Rowing Championships,1964-01-01
1964 United Kingdom general election,1964-10-15
1966 Belgian Badminton Championships,1966-01-01
1966 Danish Badminton Championships,1966-01-01
1966 Danish general election,1966-11-22
1966 Italian Grand Prix,1966-09-04
1966 Milan–San Remo,1966-03-20
1966 Scottish Open Badminton Championships,1966-01-01
1966 Uber Cup,1966-01-01
1966 Vuelta a Guatemala,1966-01-01
1967 Australian Badminton Championships,1967-01-01
1967 Belgian Badminton Championships,1967-01-01
1967 Scottish Open Badminton Championships,1967-01-01
1967 Vuelta a Guatemala,1967-01-01
1968 Belgian Badminton Championships,1968-01-01
1968 Danish Badminton Championships,1968-01-01
1968 European Indoor Games,1968-01-01
1968 Irish Open Badminton Championships,1968-01-01
1968 Italian Grand Prix,1968-09-08
1968 Scottish Open Badminton Championships,1968-01-01
1968 Vuelta a Guatemala,1968-01-01
1968 Welsh International Badminton Championships,1968-01-01
1969 Danish Badminton Championships,1969-01-01
1969 European Athletics Championships,1969-01-01
1969 European Indoor Games,1969-01-01
1969 German Open Badminton Championships,1969-01-01
1969 Italian Grand Prix,1969-09-07
