Subject,Object
2006 Tirreno–Adriatico,erik zabel
2007 Tirreno–Adriatico,robbie mcewen
2007 Tirreno–Adriatico,stuart o'grady
2008 French Road Cycling Cup,cyril gautier
2009 Volta ao Algarve,Manuel Antonio Cardoso
2010 Volta ao Algarve,André Greipel
2011 Vuelta a Castilla y León,Alberto Contador
2012 Danmark Rundt,André Greipel
2012 Vuelta a Castilla y León,Luis León Sánchez
2013 Eneco Tour,andre greipel
2013 Eneco Tour,giacomo nizzolo
2013 Eneco Tour,ian dexter stannard
2013 Eneco Tour,sylvain chavanel
2013 Vuelta a Castilla y León,Ken Hanson
2014 Danmark Rundt,andrea guardini
2014 Danmark Rundt,tom van asbroeck
2014 Vuelta a Castilla y León,Luis León Sánchez
2015 Danmark Rundt,Søren Kragh Andersen
2016 Tour de France,alexander kristoff
2016 Tour de France,andre greipel
2016 Tour de France,André Greipel
2016 Tour de France,greg van avermaet
2016 Tour de France,marcel kittel
2016 Tour de France,michael matthews
2016 Tour de France,thomas de gendt
2016 Volta a Portugal,daniel mestr
2016 Volta a Portugal,davide vigano
2016 Volta a Portugal,francesco gavazzi
2016 Volta a Portugal,José Gonçalves
2016 Volta a Portugal,samuel caldeira
2017 Danmark Rundt,Florian Maitre
2017 French Road Cycling Cup,julien simon
2017 French Road Cycling Cup,samuel dumoulin
2017 French Road Cycling Cup,thomas boudat
2017 Presidential Tour of Turkey,davide ballerini
2017 Presidential Tour of Turkey,francesco gavazzi
2017 Presidential Tour of Turkey,manuel belletti
2017 Presidential Tour of Turkey,matteo pelucchi
2017 Presidential Tour of Turkey,sam bennett
2017 Tirreno–Adriatico,elia viviani
2017 Tirreno–Adriatico,fernando gaviria
2017 Tirreno–Adriatico,mirco maestri
2017 Tour de France,Sonny Colbrelli
"2017 Tour de France, Stage 8",André Greipel
2017 Tour Down Under,danny van poppel
2017 Tour Down Under,peter sagan
2017 Tour of the Basque Country,jay mccarthy
2017 Tour of the Basque Country,michael matthews
2017 Tour of the Basque Country,michal kwiatkowski
2017 Volta a Portugal,João Benta
2017 Vuelta a Castilla y León,Sergey Shilov
2017 Vuelta a España,matteo trentin
"2017 Vuelta a España, Stage 15",Tomasz Marczyński
2017 Vuelta a la Comunidad de Madrid,Dmitry Strakhov
2017 Vuelta a la Comunidad de Madrid,Fabricio Ferrari
"2018 Arctic Race of Norway, stage 3",Mathieu van der Poel
2018 Astana,Sofia Beggin
2018 Clásico RCN,Fabio Duarte
2018 Deutschland Tour,Damiano Caruso
2018 Presidential Tour of Turkey,alvaro hodeg
2018 Presidential Tour of Turkey,ariel maximiliano richeze
2018 Presidential Tour of Turkey,edward theuns
2018 Presidential Tour of Turkey,jempy drucker
2018 Presidential Tour of Turkey,john degenkolb
2018 Tour Down Under,andre greipel
2018 Tour Down Under,caleb ewan
2018 Tour Down Under,elia viviani
2018 Tour Down Under,jay mccarthy
2018 Tour Down Under,phil bauhaus
2018 Tour of the Basque Country,gorka izagirre
2018 Tour of the Basque Country,julian alaphilippe
2018 Tour of the Basque Country,omar fraile
2018 Volta a Portugal,Enrique Sanz
2018 Volta a Portugal,Joni Brandão
2018 Vuelta a Andalucía,carlos barbero
2018 Vuelta a Andalucía,david de la cruz
2018 Vuelta a Andalucía,Jakob Fuglsang
2018 Vuelta a Andalucía,mikel landa
2018 Vuelta a Andalucía,sacha modolo
2018 Vuelta a Andalucía,Thomas Boudat
2018 Vuelta a Castilla y León,Rubén Plaza
2018 Vuelta a España,danny van poppel
2018 Vuelta a España,dylan teuns
2018 Vuelta a España,elia viviani
2018 Vuelta a España,giacomo nizzolo
2018 Vuelta a España,peter sagan
2018 Vuelta a España,steven kruijswijk
2018 Vuelta a España,thibaut pinot
2018 Vuelta a la Comunidad de Madrid,Enrique Sanz
2019 Deutschland Tour,Alexander Kristoff
"2019 Giro d'Italia, stage 15",Damiano Cima
"2019 Giro d'Italia, stage 15",Fausto Masnada
"2019 Giro d'Italia, stage 17",Damiano Cima
"2019 Giro d'Italia, stage 17",Fausto Masnada
"2019 Giro d'Italia, stage 2",Caleb Ewan
"2019 Giro d'Italia, stage 6",Arnaud Démare
"2019 Giro d'Italia, stage 6",Diego Ulissi
"2019 Giro d'Italia, stage 6",Fausto Masnada
"2019 Giro d'Italia, stage 6",Matteo Moschetti
"2019 Giro d'Italia, stage 6",Pascal Ackermann
"2019 Giro d'Italia, stage 7",Fausto Masnada
"2019 Giro d'Italia, stage 8",Matteo Moschetti
"2019 Giro d'Italia, stage 8",Richard Carapaz
2019 Grand Prix de Plouay,Annemiek van Vleuten
2019 Grand Prix de Plouay,Marianne Vos
2019 Grand Prix de Plouay,Soraya Paladin
"2019 Ladies Tour of Norway, Stage 2",Coryn Rivera
"2019 Ladies Tour of Norway, Stage 2",Emilie Moberg
"2019 Ladies Tour of Norway, Stage 2",Letizia Paternoster
"2019 Ladies Tour of Norway, Stage 2",Lorena Wiebes
"2019 Ladies Tour of Norway, Stage 2",Marianne Vos
"2019 Ladies Tour of Norway, Stage 2",Marta Bastianelli
"2019 Tour de France, stage 17",Caleb Ewan
"2019 Tour de France, stage 3",Julian Alaphilippe
"2019 Tour de France, stage 8",Caleb Ewan
"2019 Tour de France, stage 8",Julian Alaphilippe
2019 Tour de Langkawi,blake quick
2019 Tour de Langkawi,clint hendricks
2019 Tour de Langkawi,craig wiggins
2019 Tour de Langkawi,hariff salleh
2019 Tour de Langkawi,marco benfatto
2019 Tour de Langkawi,maris bogdanovics
2019 Tour de Langkawi,matteo pelucchi
2019 Tour de Langkawi,paolo simion
2019 Tour de Langkawi,youcef reguigui
2019 Vuelta a Castilla y León,Daniele Bennati
"2019 Vuelta a España, stage 6",Tadej Pogačar
"2019 Vuelta a España, stage 8",Tadej Pogačar
2020 Vuelta a Andalucía,Jon Izagirre
Alé Cipollini 2019,Diana Peñuela
Bigla 2019,Julie Leth
Canyon Sram Racing 2017,Alexis Ryan
Gran Premio Femenino de Plouay 2018,Annemiek van Vleuten
Gran Premio Femenino de Plouay 2018,Katarzyna Niewiadoma
Gran Premio Femenino de Plouay 2018,Marianne Vos
Lotto NL-Jumbo 2017,Juan José Lobato
Lotto NL-Jumbo 2017,Robert Wagner
Volta a Portugal de 2019,Marco Tizza
