Subject,Object
1974 Monaco Grand Prix,Niki Lauda
1975 Monaco Grand Prix,Niki Lauda
1976 Monaco Grand Prix,Niki Lauda
1983 European Grand Prix,Elio de Angelis
1984 European Grand Prix,Nelson Piquet
1985 European Grand Prix,Ayrton Senna
1993 European Grand Prix,Alain Prost
1995 European Grand Prix,David Coulthard
1996 European Grand Prix,Damon Hill
1997 Monaco Grand Prix,Heinz-Harald Frentzen
1999 European Grand Prix,Heinz-Harald Frentzen
2002 European Grand Prix,Juan Pablo Montoya
2003 European Grand Prix,Kimi Räikkönen
2003 Monaco Grand Prix,Ralf Schumacher
2005 European Grand Prix,Nick Heidfeld
2008 Monaco Grand Prix,Felipe Massa
2009 European Grand Prix,hamilton
2009 European Grand Prix,Lewis Hamilton
2012 European Grand Prix,baby schumi
2012 European Grand Prix,Sebastian Vettel
2012 Monaco Grand Prix,Mark Webber
2014 Monaco Grand Prix,Nico Rosberg
2016 European Grand Prix,nico erik rosberg
2016 European Grand Prix,Nico Rosberg
