Subject,Object
Acorn,Aberystwyth
Albatross,Aberystwyth
Antelope,Aberystwyth
CCGS Des Groseilliers,city of ottawa
CCGS Des Groseilliers,Ottawa
CCGS Louis S. St-Laurent,Ottawa
CCGS Terry Fox,city of ottawa
CCGS Terry Fox,Ottawa
Dovey Belle,Aberystwyth
Elena L,Limassol
Emsmoon,St. John's
Fairy,Aberystwyth
Helenic,Andijk
Pacific,Aberystwyth
Prima Donna,Aberystwyth
RMS Transvaal Castle,city of nassau
SS Stettin,Hamburg
Swallow,Aberystwyth
Tim,Limassol
Vohburg,St. John's
Wilson Waal,Bridgetown
