Subject,Object
Ahmed Aboutaleb,dutch state secretary for social affairs and employment
Ahmed Aboutaleb,mayor of rotterdam
Ahmed Aboutaleb,municipal executive of amsterdam
Alec Douglas-Home,board member
Alec Douglas-Home,british pm
Alec Douglas-Home,chancellor of the order of the thistle
Alec Douglas-Home,commissioner of the peace
Alec Douglas-Home,deputy lieutenant
Alec Douglas-Home,deputy minister to the president
Alec Douglas-Home,foreign secretary
Alec Douglas-Home,leader of her majesty's most loyal opposition in the united kingdom
Alec Douglas-Home,leader of the conservative party
Alec Douglas-Home,leader of the house of lords
Alec Douglas-Home,lord president of the council
Alec Douglas-Home,member of parliament of the united kingdom house of lords
Alec Douglas-Home,member of the 36th parliament of the united kingdom
Alec Douglas-Home,member of the 37th parliament of the united kingdom
Alec Douglas-Home,member of the 39th parliament of the united kingdom
Alec Douglas-Home,member of the 42nd parliament of the united kingdom
Alec Douglas-Home,member of the 43rd parliament of the united kingdom
Alec Douglas-Home,member of the 44th parliament of the united kingdom
Alec Douglas-Home,member of the 45th parliament of the united kingdom
Alec Douglas-Home,member of the 46th parliament of the united kingdom
Alec Douglas-Home,member of the privy council of the united kingdom
Alec Douglas-Home,parliamentary private secretary to the cabinet office
Alec Douglas-Home,parliamentary private secretary to the prime minister
Alec Douglas-Home,representative of the parliamentary assembly of the council of europe
Alec Douglas-Home,scotland secretary
Alec Douglas-Home,secretary of state for commonwealth relations
Alec Douglas-Home,shadow foreign secretary
Anárion,King
Asa of Judah,king of juda
Belegorn,Ruling Steward of Gondor
Cirion,Ruling Steward of Gondor
Colleen Hanabusa,legislative speaker
Colleen Hanabusa,member of the state senate of hawaii
Colleen Hanabusa,u.s. congressman
Denethor II,Ruling Steward of Gondor
Dezső Gyarmati,member of the hungarian national assembly
Ecthelion II,Ruling Steward of Gondor
Edgar Lungu,defence minister
Edgar Lungu,justice minister of zambia
Edgar Lungu,member of the national assembly of zambia
Edgar Lungu,minister of internal affairs
Edgar Lungu,president of zambia
Eradan,Ruling Steward of Gondor
Faramir,prince of ithilien
Faramir,Ruling Steward of Gondor
François Vauglin,councillor of metropolis of greater paris
François Vauglin,councillor of paris
Frederick Heriot,member of the legislative assembly of lower canada
Frederick Heriot,member of the special council of lower canada
Harold Wilson,british pm
Harold Wilson,leader of her majesty's most loyal opposition in the united kingdom
Harold Wilson,member of parliament of the united kingdom house of lords
Harold Wilson,member of the 39th parliament of the united kingdom
Harold Wilson,member of the 42nd parliament of the united kingdom
Harold Wilson,member of the 43rd parliament of the united kingdom
Harold Wilson,member of the 44th parliament of the united kingdom
Harold Wilson,member of the 45th parliament of the united kingdom
Harold Wilson,member of the 46th parliament of the united kingdom
Harold Wilson,member of the privy council of the united kingdom
Harold Wilson,shadow foreign secretary
Húrin of Emyn Arnen,Ruling Steward of Gondor
Jehoshaphat,king of juda
Karsten Möring,mdb
Knud Kristensen,chairman of venstre
Knud Kristensen,denmark's head of government
Knud Kristensen,folketingsmedlem
Knud Kristensen,minister of the interior of denmark
Kristi Noem,director of homeland security
Kristi Noem,governor of south dakota
Kristi Noem,member of the south dakota house of representatives
Kristi Noem,u.s. congressman
László Rajk Jr.,member of the hungarian national assembly
Mario Abdo Benítez,member of the senate of paraguay
Mario Abdo Benítez,mercosur pro tempore presidency
Mario Abdo Benítez,president of paraguay
Meneldil,king of Gondor
Vermont Senate,member of the state senate of vermont
Víctor Hugo Basabe,administrator apostolicus
Víctor Hugo Basabe,archbishop of coro
Víctor Hugo Basabe,bishop of san felipe
Yousif Thomas Mirkis,archbishop
