Subject,Object
Artega GT,petrol engine
Aston Martin DB4 GT Zagato,petrol engine
Aston Martin V8 Zagato,petrol engine
Aston Martin Vantage,petrol engine
Bodangora Wind Farm,General Electric 3.4-130
Chevrolet SSR,petrol engine
Engelbrekt,compound locomotive
Ferrari GTC4Lusso,petrol engine
Freeciv,cue toolkit
Freeciv,gtk
Freeciv,sdl
Madurankuliya Wind Farm,ReGen Vensys 82
McLaren 570S,McLaren M838T engine
McLaren 650S,petrol engine
MV Västan,diesel engine
Norrtelje,compound locomotive
Popcorn Time,google native client
Popcorn Time,node-webkit
Popcorn Time,v8
Porsche 2020,petrol engine
SS Thomée,compound steam engine
Tesla Model 3,synchronous motor
Tremulous,ioquake3
Triumph TR3,petrol engine
Vallibel Wind Farm,Vawin
Wikidata,help:wikibase
Wikidata,mediawiki
Wikimedia Incubator,mediawiki
Wowpedia,mediawiki
