Subject,Object
(RS)-citalopram,US pregnancy category C
adapalene/benzoyl peroxide,US pregnancy category C
benzoyl peroxide/clindamycin,US pregnancy category C
estradiol cypionate/medroxyprogesterone acetate,US pregnancy category X
estradiol/norethisterone acetate,US pregnancy category X
ethinylestradiol/drospirenone/levomefolic acid,US pregnancy category X
ethinylestradiol/etonogestrel,US pregnancy category X
ethinylestradiol/levonorgestrel,US pregnancy category X
ethinylestradiol/norelgestromin,US pregnancy category X
ethinylestradiol/norethisterone,US pregnancy category X
ledipasvir/sofosbuvir,US pregnancy category B
mestranol/norethisterone,US pregnancy category X
mometasone/formoterol,US pregnancy category C
morphine/naltrexone,US pregnancy category C
ondansetron,Australian pregnancy category B1
ondansetron,US pregnancy category B
propranolol,Australian pregnancy category C
